id_email;date_test;vrai_label;prediction;score_confiance;categorie_phishing;longueur_texte;nb_liens
MAIL-5059;2025-09-05;phishing;phishing;0.862;Fausse facture;378;2
MAIL-5060;2025-09-12;légitime;légitime;0.976;N/A;994;0
MAIL-5061;2025-09-29;phishing;phishing;0.909;Fausse livraison colis;389;3
MAIL-5062;2025-09-17;légitime;légitime;0.984;N/A;944;1
MAIL-5063;2025-09-09;légitime;légitime;0.983;N/A;727;2
MAIL-5064;2025-09-29;légitime;légitime;0.787;N/A;1151;1
MAIL-5065;2025-09-08;légitime;légitime;0.97;N/A;467;2
MAIL-5066;2025-09-08;phishing;phishing;0.845;Usurpation bancaire;92;4
MAIL-5067;2025-09-16;phishing;phishing;0.91;Usurpation bancaire;112;5
MAIL-5068;2025-09-18;phishing;phishing;0.953;Faux support technique;627;0
MAIL-5069;2025-09-12;légitime;légitime;0.792;N/A;262;2
MAIL-5070;2025-09-04;légitime;légitime;0.828;N/A;321;2
MAIL-5071;2025-09-28;légitime;légitime;0.788;N/A;556;2
MAIL-5072;2025-09-14;phishing;phishing;0.94;Phishing RH/paie;834;4
MAIL-5073;2025-09-16;légitime;légitime;0.985;N/A;158;2
MAIL-5074;2025-09-04;phishing;phishing;0.87;Usurpation fournisseur;170;3
MAIL-5075;2025-09-05;légitime;légitime;0.973;N/A;906;0
MAIL-5076;2025-09-13;phishing;phishing;0.917;Usurpation fournisseur;976;5
MAIL-5077;2025-09-05;légitime;légitime;0.936;N/A;883;2
MAIL-5078;2025-09-11;phishing;phishing;0.925;Faux support technique;620;2
MAIL-5079;2025-09-18;phishing;phishing;0.921;Fausse livraison colis;107;4
MAIL-5080;2025-09-19;légitime;légitime;0.98;N/A;746;1
MAIL-5081;2025-09-08;légitime;légitime;0.793;N/A;471;1
MAIL-5082;2025-09-13;légitime;légitime;0.92;N/A;934;0
MAIL-5083;2025-09-14;phishing;phishing;0.951;Fausse livraison colis;645;6
MAIL-5084;2025-09-30;légitime;légitime;0.956;N/A;838;1
MAIL-5085;2025-09-14;phishing;phishing;0.838;Fausse livraison colis;1154;3
MAIL-5086;2025-09-20;légitime;légitime;0.907;N/A;905;2
MAIL-5087;2025-09-20;phishing;phishing;0.915;Fausse facture;329;3
MAIL-5088;2025-09-26;légitime;légitime;0.821;N/A;1119;0
MAIL-5089;2025-09-04;phishing;phishing;0.887;Faux support technique;1004;6
MAIL-5090;2025-09-06;légitime;légitime;0.902;N/A;1043;2
MAIL-5091;2025-09-28;légitime;légitime;0.895;N/A;356;2
MAIL-5092;2025-09-18;légitime;légitime;0.792;N/A;687;2
MAIL-5093;2025-09-30;phishing;phishing;0.888;Usurpation bancaire;756;4
MAIL-5094;2025-09-29;légitime;légitime;0.98;N/A;1178;0
MAIL-5095;2025-09-04;légitime;légitime;0.914;N/A;394;2
MAIL-5096;2025-09-17;légitime;légitime;0.94;N/A;953;1
MAIL-5097;2025-09-03;légitime;légitime;0.885;N/A;227;2
MAIL-5098;2025-09-05;phishing;phishing;0.889;Fausse livraison colis;699;2
MAIL-5099;2025-09-30;phishing;phishing;0.939;Faux support technique;597;2
MAIL-5100;2025-09-16;phishing;phishing;0.941;Phishing RH/paie;131;0
MAIL-5101;2025-09-30;légitime;légitime;0.976;N/A;145;2
MAIL-5102;2025-09-25;phishing;phishing;0.844;Fausse livraison colis;166;3
MAIL-5103;2025-09-19;phishing;phishing;0.818;Fausse livraison colis;964;4
MAIL-5104;2025-09-13;légitime;légitime;0.875;N/A;780;2
MAIL-5105;2025-09-06;phishing;phishing;0.81;Fausse livraison colis;1016;4
MAIL-5106;2025-09-14;phishing;légitime;0.74;Usurpation bancaire;856;3
MAIL-5107;2025-09-23;phishing;phishing;0.953;Phishing RH/paie;866;5
MAIL-5108;2025-09-30;légitime;légitime;0.851;N/A;976;1
MAIL-5109;2025-09-10;légitime;légitime;0.787;N/A;492;2
MAIL-5110;2025-09-17;phishing;phishing;0.882;Usurpation bancaire;727;4
MAIL-5111;2025-09-28;légitime;légitime;0.974;N/A;546;1
MAIL-5112;2025-09-08;phishing;phishing;0.801;Usurpation fournisseur;771;0
MAIL-5113;2025-09-17;légitime;légitime;0.791;N/A;873;2
MAIL-5114;2025-09-11;légitime;légitime;0.932;N/A;1093;1
MAIL-5115;2025-09-06;légitime;phishing;0.577;N/A;913;1
MAIL-5116;2025-09-24;phishing;phishing;0.892;Phishing RH/paie;186;6
MAIL-5117;2025-09-18;légitime;légitime;0.841;N/A;150;0
MAIL-5118;2025-09-09;légitime;phishing;0.736;N/A;91;0
MAIL-5119;2025-09-14;phishing;légitime;0.77;Usurpation fournisseur;669;6
MAIL-5120;2025-09-10;légitime;légitime;0.977;N/A;876;0
MAIL-5121;2025-09-21;phishing;phishing;0.974;Fausse livraison colis;702;6
MAIL-5122;2025-09-10;phishing;phishing;0.845;Fausse livraison colis;823;5
MAIL-5123;2025-09-04;légitime;légitime;0.947;N/A;306;2
MAIL-5124;2025-09-09;légitime;légitime;0.912;N/A;799;2
MAIL-5125;2025-09-14;phishing;phishing;0.807;Faux support technique;175;3
MAIL-5126;2025-09-22;phishing;phishing;0.943;Fausse facture;240;0
MAIL-5127;2025-09-05;légitime;légitime;0.868;N/A;105;2
MAIL-5128;2025-09-26;phishing;phishing;0.868;Fausse facture;373;4
MAIL-5129;2025-09-21;légitime;légitime;0.781;N/A;450;2
MAIL-5130;2025-09-05;phishing;phishing;0.808;Usurpation fournisseur;109;5
MAIL-5131;2025-09-23;phishing;phishing;0.912;Fausse facture;718;6
MAIL-5132;2025-09-13;phishing;phishing;0.963;Faux support technique;140;6
MAIL-5133;2025-09-13;phishing;phishing;0.857;Usurpation fournisseur;324;0
MAIL-5134;2025-09-16;légitime;légitime;0.987;N/A;872;1
MAIL-5135;2025-09-05;légitime;légitime;0.855;N/A;594;0
MAIL-5136;2025-09-15;légitime;phishing;0.617;N/A;152;2
MAIL-5137;2025-09-02;légitime;légitime;0.949;N/A;86;0
MAIL-5138;2025-09-01;légitime;légitime;0.799;N/A;231;2
MAIL-5139;2025-09-07;légitime;légitime;0.897;N/A;786;1
MAIL-5140;2025-09-16;légitime;légitime;0.899;N/A;523;0
MAIL-5141;2025-09-12;légitime;légitime;0.88;N/A;118;2
MAIL-5142;2025-09-11;légitime;légitime;0.868;N/A;387;1
MAIL-5143;2025-09-21;phishing;phishing;0.924;Usurpation fournisseur;873;3
MAIL-5144;2025-09-02;phishing;phishing;0.955;Usurpation bancaire;323;0
MAIL-5145;2025-09-17;légitime;légitime;0.863;N/A;862;0
MAIL-5146;2025-09-13;phishing;phishing;0.853;Fausse facture;1027;2
MAIL-5147;2025-09-09;légitime;légitime;0.786;N/A;266;2
MAIL-5148;2025-09-14;légitime;légitime;0.796;N/A;879;1
MAIL-5149;2025-09-07;légitime;légitime;0.861;N/A;494;2
MAIL-5150;2025-09-05;légitime;légitime;0.854;N/A;869;2
MAIL-5151;2025-09-23;phishing;phishing;0.862;Fausse livraison colis;178;3
MAIL-5152;2025-09-02;phishing;phishing;0.986;Fausse livraison colis;461;4
MAIL-5153;2025-09-23;phishing;phishing;0.986;Fausse livraison colis;209;2
MAIL-5154;2025-09-02;phishing;phishing;0.922;Fausse facture;634;6
MAIL-5155;2025-09-12;légitime;légitime;0.858;N/A;368;0
MAIL-5156;2025-09-12;légitime;légitime;0.863;N/A;409;2
MAIL-5157;2025-09-11;légitime;légitime;0.795;N/A;1046;2
MAIL-5158;2025-09-13;légitime;légitime;0.99;N/A;138;2
MAIL-5159;2025-09-24;phishing;phishing;0.914;Usurpation fournisseur;233;4
MAIL-5160;2025-09-07;légitime;légitime;0.928;N/A;621;2
MAIL-5161;2025-09-05;phishing;phishing;0.878;Fausse livraison colis;1037;5
MAIL-5162;2025-09-24;phishing;phishing;0.964;Usurpation bancaire;869;6
MAIL-5163;2025-09-21;légitime;légitime;0.836;N/A;891;1
MAIL-5164;2025-09-09;phishing;phishing;0.847;Faux support technique;461;0
MAIL-5165;2025-09-06;phishing;phishing;0.932;Usurpation fournisseur;761;5
MAIL-5166;2025-09-30;légitime;légitime;0.918;N/A;738;0
MAIL-5167;2025-09-11;légitime;légitime;0.855;N/A;335;1
MAIL-5168;2025-09-07;phishing;phishing;0.971;Phishing RH/paie;395;2
MAIL-5169;2025-09-14;légitime;légitime;0.866;N/A;1046;0
MAIL-5170;2025-09-15;phishing;phishing;0.864;Faux support technique;1082;4
MAIL-5171;2025-09-08;phishing;légitime;0.595;Phishing RH/paie;858;2
MAIL-5172;2025-09-23;légitime;légitime;0.936;N/A;915;0
MAIL-5173;2025-09-12;légitime;légitime;0.978;N/A;1167;2
MAIL-5174;2025-09-26;légitime;légitime;0.868;N/A;931;0
MAIL-5175;2025-09-16;légitime;légitime;0.869;N/A;440;1
MAIL-5176;2025-09-30;légitime;légitime;0.833;N/A;1015;0
MAIL-5177;2025-09-24;légitime;légitime;0.844;N/A;709;2
MAIL-5178;2025-09-09;légitime;légitime;0.968;N/A;652;2
MAIL-5179;2025-09-17;phishing;phishing;0.968;Fausse livraison colis;543;4
MAIL-5180;2025-09-08;légitime;légitime;0.804;N/A;396;0
MAIL-5181;2025-09-19;légitime;légitime;0.879;N/A;840;0
MAIL-5182;2025-09-18;phishing;phishing;0.836;Usurpation fournisseur;747;1
MAIL-5183;2025-09-23;légitime;légitime;0.792;N/A;662;2
MAIL-5184;2025-09-27;légitime;légitime;0.866;N/A;759;0
MAIL-5185;2025-09-24;phishing;phishing;0.933;Usurpation bancaire;224;0
MAIL-5186;2025-09-25;légitime;légitime;0.832;N/A;1141;0
MAIL-5187;2025-09-30;légitime;légitime;0.796;N/A;861;2
MAIL-5188;2025-09-25;légitime;légitime;0.956;N/A;936;1
MAIL-5189;2025-09-30;légitime;légitime;0.896;N/A;259;0
MAIL-5190;2025-09-19;légitime;légitime;0.869;N/A;715;0
MAIL-5191;2025-09-05;légitime;légitime;0.897;N/A;1160;0
MAIL-5192;2025-09-20;légitime;légitime;0.95;N/A;191;1
MAIL-5193;2025-09-02;légitime;légitime;0.879;N/A;402;0
MAIL-5194;2025-09-12;légitime;légitime;0.835;N/A;204;0
MAIL-5195;2025-09-08;phishing;phishing;0.925;Faux support technique;652;6
MAIL-5196;2025-09-14;phishing;phishing;0.988;Fausse livraison colis;989;1
MAIL-5197;2025-09-11;phishing;phishing;0.902;Phishing RH/paie;708;1
MAIL-5198;2025-09-17;légitime;légitime;0.788;N/A;228;0
MAIL-5199;2025-09-26;légitime;légitime;0.967;N/A;739;2
MAIL-5200;2025-09-21;phishing;phishing;0.922;Usurpation fournisseur;628;5
MAIL-5201;2025-09-27;légitime;légitime;0.799;N/A;395;1
MAIL-5202;2025-09-01;légitime;légitime;0.971;N/A;339;1
MAIL-5203;2025-09-12;phishing;phishing;0.82;Fausse livraison colis;1019;2
MAIL-5204;2025-09-03;phishing;phishing;0.95;Faux support technique;534;5
MAIL-5205;2025-09-03;légitime;légitime;0.802;N/A;1167;1
MAIL-5206;2025-09-07;phishing;phishing;0.804;Fausse facture;495;0
MAIL-5207;2025-09-22;phishing;phishing;0.876;Faux support technique;947;3
MAIL-5208;2025-09-04;phishing;phishing;0.849;Usurpation fournisseur;407;1
MAIL-5209;2025-09-23;légitime;légitime;0.913;N/A;473;2
MAIL-5210;2025-09-13;phishing;légitime;0.774;Fausse facture;681;3
MAIL-5211;2025-09-02;phishing;phishing;0.821;Usurpation bancaire;649;1
MAIL-5212;2025-09-13;légitime;légitime;0.781;N/A;749;0
MAIL-5213;2025-09-23;légitime;légitime;0.929;N/A;485;1
MAIL-5214;2025-09-01;légitime;légitime;0.867;N/A;1134;2
MAIL-5215;2025-09-16;légitime;légitime;0.969;N/A;628;0
MAIL-5216;2025-09-01;légitime;légitime;0.921;N/A;798;0
MAIL-5217;2025-09-17;légitime;légitime;0.887;N/A;1169;1
MAIL-5218;2025-09-09;phishing;phishing;0.829;Phishing RH/paie;690;5
MAIL-5219;2025-09-12;phishing;phishing;0.942;Faux support technique;1129;5
MAIL-5220;2025-09-27;légitime;légitime;0.907;N/A;516;1
MAIL-5221;2025-09-10;légitime;légitime;0.922;N/A;109;0
MAIL-5222;2025-09-08;légitime;légitime;0.874;N/A;82;2
MAIL-5223;2025-09-28;légitime;phishing;0.696;N/A;1104;0
MAIL-5224;2025-09-17;phishing;phishing;0.853;Usurpation fournisseur;169;2
MAIL-5225;2025-09-20;phishing;phishing;0.954;Fausse facture;1084;6
MAIL-5226;2025-09-23;phishing;phishing;0.939;Usurpation bancaire;904;5
MAIL-5227;2025-09-11;phishing;phishing;0.935;Phishing RH/paie;325;1
MAIL-5228;2025-09-05;légitime;légitime;0.89;N/A;685;2
MAIL-5229;2025-09-23;phishing;phishing;0.854;Fausse livraison colis;243;0
MAIL-5230;2025-09-26;phishing;phishing;0.805;Phishing RH/paie;1005;5
MAIL-5231;2025-09-10;phishing;phishing;0.834;Phishing RH/paie;891;0
MAIL-5232;2025-09-28;légitime;légitime;0.887;N/A;850;2
MAIL-5233;2025-09-21;légitime;légitime;0.804;N/A;1198;1
MAIL-5234;2025-09-17;phishing;phishing;0.867;Usurpation fournisseur;370;2
MAIL-5235;2025-09-20;légitime;légitime;0.808;N/A;1048;0
MAIL-5236;2025-09-30;phishing;phishing;0.952;Faux support technique;489;4
MAIL-5237;2025-09-09;légitime;légitime;0.8;N/A;686;2
MAIL-5238;2025-09-09;légitime;légitime;0.801;N/A;1096;1
MAIL-5239;2025-09-12;phishing;phishing;0.804;Fausse facture;261;0
MAIL-5240;2025-09-30;phishing;phishing;0.965;Fausse facture;759;1
MAIL-5241;2025-09-09;légitime;légitime;0.959;N/A;188;1
MAIL-5242;2025-09-15;phishing;phishing;0.963;Usurpation bancaire;1186;4
MAIL-5243;2025-09-21;phishing;phishing;0.935;Fausse livraison colis;390;6
MAIL-5244;2025-09-12;légitime;légitime;0.888;N/A;1000;1
MAIL-5245;2025-09-15;légitime;légitime;0.885;N/A;650;1
MAIL-5246;2025-09-19;légitime;légitime;0.959;N/A;771;1
MAIL-5247;2025-09-26;phishing;phishing;0.831;Phishing RH/paie;168;1
MAIL-5248;2025-09-16;phishing;phishing;0.85;Usurpation fournisseur;1019;1
MAIL-5249;2025-09-18;phishing;phishing;0.951;Usurpation fournisseur;122;1
MAIL-5250;2025-09-27;légitime;légitime;0.803;N/A;704;0
MAIL-5251;2025-09-23;phishing;phishing;0.927;Usurpation bancaire;864;1
MAIL-5252;2025-09-17;phishing;phishing;0.841;Usurpation bancaire;1118;2
MAIL-5253;2025-09-23;légitime;légitime;0.966;N/A;146;1
MAIL-5254;2025-09-26;phishing;phishing;0.981;Faux support technique;87;2
MAIL-5255;2025-09-30;légitime;légitime;0.845;N/A;594;0
MAIL-5256;2025-09-30;légitime;légitime;0.897;N/A;965;1
MAIL-5257;2025-09-12;légitime;légitime;0.916;N/A;703;2
MAIL-5258;2025-09-09;légitime;légitime;0.88;N/A;370;0
MAIL-5259;2025-09-13;légitime;légitime;0.834;N/A;994;0
MAIL-5260;2025-09-27;légitime;légitime;0.879;N/A;758;0
MAIL-5261;2025-09-01;légitime;légitime;0.98;N/A;1125;1
MAIL-5262;2025-09-02;légitime;légitime;0.94;N/A;1036;1
MAIL-5263;2025-09-30;légitime;légitime;0.927;N/A;332;0
MAIL-5264;2025-09-13;phishing;phishing;0.807;Fausse livraison colis;288;5
MAIL-5265;2025-09-04;phishing;phishing;0.844;Phishing RH/paie;1182;2
MAIL-5266;2025-09-23;phishing;phishing;0.913;Fausse livraison colis;835;3
MAIL-5267;2025-09-03;légitime;légitime;0.815;N/A;642;2
MAIL-5268;2025-09-19;légitime;légitime;0.896;N/A;962;2
MAIL-5269;2025-09-30;légitime;phishing;0.66;N/A;1107;0
MAIL-5270;2025-09-07;légitime;légitime;0.909;N/A;566;0
MAIL-5271;2025-09-21;phishing;phishing;0.848;Faux support technique;335;1
MAIL-5272;2025-09-13;légitime;légitime;0.985;N/A;297;0
MAIL-5273;2025-09-19;légitime;légitime;0.842;N/A;548;2
MAIL-5274;2025-09-28;phishing;phishing;0.848;Fausse livraison colis;148;4
MAIL-5275;2025-09-12;légitime;légitime;0.807;N/A;508;2
MAIL-5276;2025-09-06;phishing;phishing;0.917;Usurpation fournisseur;131;6
MAIL-5277;2025-09-08;légitime;légitime;0.878;N/A;741;0
MAIL-5278;2025-09-21;légitime;légitime;0.966;N/A;586;0
MAIL-5279;2025-09-23;phishing;phishing;0.962;Faux support technique;959;2
MAIL-5280;2025-09-07;légitime;légitime;0.916;N/A;215;2
MAIL-5281;2025-09-11;légitime;légitime;0.787;N/A;833;2
MAIL-5282;2025-09-23;phishing;phishing;0.855;Faux support technique;317;2
MAIL-5283;2025-09-16;légitime;légitime;0.874;N/A;446;0
MAIL-5284;2025-09-20;légitime;légitime;0.795;N/A;693;2
MAIL-5285;2025-09-12;légitime;légitime;0.884;N/A;1049;0
MAIL-5286;2025-09-23;phishing;phishing;0.855;Faux support technique;935;1
MAIL-5287;2025-09-25;phishing;phishing;0.908;Fausse facture;557;2
MAIL-5288;2025-09-05;légitime;phishing;0.776;N/A;1075;2
MAIL-5289;2025-09-08;légitime;légitime;0.831;N/A;535;2
MAIL-5290;2025-09-15;légitime;légitime;0.953;N/A;1168;2
MAIL-5291;2025-09-04;légitime;légitime;0.89;N/A;683;1
MAIL-5292;2025-09-28;légitime;légitime;0.811;N/A;203;0
MAIL-5293;2025-09-04;légitime;légitime;0.835;N/A;1069;1
MAIL-5294;2025-09-26;légitime;légitime;0.974;N/A;1155;2
MAIL-5295;2025-09-02;phishing;phishing;0.957;Usurpation fournisseur;411;3
MAIL-5296;2025-09-16;légitime;légitime;0.948;N/A;676;2
MAIL-5297;2025-09-25;légitime;légitime;0.966;N/A;427;2
MAIL-5298;2025-09-21;phishing;phishing;0.84;Faux support technique;591;2
MAIL-5299;2025-09-02;phishing;phishing;0.95;Phishing RH/paie;981;6
MAIL-5300;2025-09-04;phishing;légitime;0.742;Phishing RH/paie;1052;4
MAIL-5301;2025-09-13;légitime;légitime;0.84;N/A;385;2
MAIL-5302;2025-09-29;phishing;légitime;0.766;Faux support technique;396;6
MAIL-5303;2025-09-16;légitime;légitime;0.944;N/A;208;1
MAIL-5304;2025-09-27;légitime;légitime;0.917;N/A;189;1
MAIL-5305;2025-09-13;phishing;phishing;0.849;Phishing RH/paie;770;2
MAIL-5306;2025-09-30;phishing;phishing;0.932;Usurpation fournisseur;808;4
MAIL-5307;2025-09-21;légitime;légitime;0.878;N/A;1102;0
MAIL-5308;2025-09-21;phishing;phishing;0.931;Usurpation bancaire;674;5
MAIL-5309;2025-09-23;légitime;légitime;0.96;N/A;948;0
MAIL-5310;2025-09-09;phishing;phishing;0.934;Faux support technique;954;3
MAIL-5311;2025-09-17;légitime;légitime;0.9;N/A;1100;1
MAIL-5312;2025-09-23;légitime;légitime;0.809;N/A;303;0
MAIL-5313;2025-09-24;légitime;légitime;0.801;N/A;311;1
MAIL-5314;2025-09-11;légitime;légitime;0.855;N/A;190;2
MAIL-5315;2025-09-09;phishing;phishing;0.835;Phishing RH/paie;540;2
MAIL-5316;2025-09-06;légitime;légitime;0.798;N/A;515;1
MAIL-5317;2025-09-12;légitime;légitime;0.965;N/A;375;2
MAIL-5318;2025-09-09;légitime;légitime;0.832;N/A;1079;2
MAIL-5319;2025-09-17;phishing;phishing;0.966;Usurpation fournisseur;1193;0
MAIL-5320;2025-09-23;phishing;phishing;0.967;Fausse facture;302;6
MAIL-5321;2025-09-30;phishing;phishing;0.853;Usurpation fournisseur;1057;6
MAIL-5322;2025-09-10;phishing;phishing;0.894;Phishing RH/paie;121;1
MAIL-5323;2025-09-06;légitime;légitime;0.951;N/A;1096;2
MAIL-5324;2025-09-05;légitime;phishing;0.762;N/A;801;2
MAIL-5325;2025-09-10;phishing;phishing;0.858;Fausse facture;1158;3
MAIL-5326;2025-09-19;légitime;légitime;0.921;N/A;450;0
MAIL-5327;2025-09-02;légitime;légitime;0.976;N/A;855;0
MAIL-5328;2025-09-06;légitime;légitime;0.972;N/A;316;2
MAIL-5329;2025-09-05;phishing;phishing;0.935;Usurpation fournisseur;839;0
MAIL-5330;2025-09-12;légitime;légitime;0.8;N/A;1002;1
MAIL-5331;2025-09-03;phishing;légitime;0.556;Fausse livraison colis;270;3
MAIL-5332;2025-09-12;phishing;phishing;0.812;Fausse facture;940;0
MAIL-5333;2025-09-22;légitime;légitime;0.851;N/A;610;2
MAIL-5334;2025-09-17;phishing;phishing;0.897;Faux support technique;224;1
MAIL-5335;2025-09-17;phishing;phishing;0.891;Phishing RH/paie;448;3
MAIL-5336;2025-09-06;légitime;légitime;0.807;N/A;125;2
MAIL-5337;2025-09-26;phishing;phishing;0.897;Phishing RH/paie;722;4
MAIL-5338;2025-09-20;légitime;légitime;0.84;N/A;947;1
MAIL-5339;2025-09-11;légitime;légitime;0.806;N/A;601;1
MAIL-5340;2025-09-21;phishing;phishing;0.822;Faux support technique;330;6
MAIL-5341;2025-09-21;phishing;phishing;0.93;Phishing RH/paie;730;2
MAIL-5342;2025-09-04;légitime;légitime;0.902;N/A;853;1
MAIL-5343;2025-09-28;légitime;légitime;0.81;N/A;483;1
MAIL-5344;2025-09-30;phishing;phishing;0.932;Usurpation bancaire;674;1
MAIL-5345;2025-09-27;phishing;phishing;0.826;Usurpation fournisseur;274;2
MAIL-5346;2025-09-27;phishing;phishing;0.872;Usurpation bancaire;246;1
MAIL-5347;2025-09-21;légitime;légitime;0.85;N/A;1117;2
MAIL-5348;2025-09-17;légitime;légitime;0.911;N/A;88;0
MAIL-5349;2025-09-28;légitime;légitime;0.897;N/A;598;1
MAIL-5350;2025-09-01;légitime;légitime;0.932;N/A;138;2
MAIL-5351;2025-09-19;légitime;légitime;0.919;N/A;367;2
MAIL-5352;2025-09-21;phishing;phishing;0.866;Faux support technique;653;2
MAIL-5353;2025-09-06;phishing;phishing;0.945;Faux support technique;630;0
MAIL-5354;2025-09-14;légitime;légitime;0.884;N/A;846;1
MAIL-5355;2025-09-29;légitime;légitime;0.87;N/A;679;0
MAIL-5356;2025-09-11;légitime;légitime;0.958;N/A;405;2
MAIL-5357;2025-09-20;phishing;phishing;0.813;Faux support technique;955;5
MAIL-5358;2025-09-15;légitime;légitime;0.981;N/A;1022;1
MAIL-5359;2025-09-07;phishing;phishing;0.985;Fausse livraison colis;150;2
MAIL-5360;2025-09-17;phishing;phishing;0.87;Usurpation fournisseur;686;0
MAIL-5361;2025-09-02;légitime;légitime;0.9;N/A;158;2
MAIL-5362;2025-09-22;légitime;phishing;0.664;N/A;751;0
MAIL-5363;2025-09-25;légitime;légitime;0.928;N/A;1081;0
MAIL-5364;2025-09-03;légitime;légitime;0.807;N/A;258;1
MAIL-5365;2025-09-24;légitime;légitime;0.848;N/A;206;2
MAIL-5366;2025-09-24;légitime;légitime;0.973;N/A;644;2
MAIL-5367;2025-09-20;légitime;légitime;0.802;N/A;845;2
MAIL-5368;2025-09-11;légitime;légitime;0.826;N/A;719;0
MAIL-5369;2025-09-12;phishing;phishing;0.819;Usurpation fournisseur;685;0
MAIL-5370;2025-09-14;légitime;légitime;0.923;N/A;163;0
MAIL-5371;2025-09-14;phishing;phishing;0.858;Fausse facture;163;3
