id,client_id,date_achat,jour,cache_prix_total,reference
34,260,2025-01-08,Mercredi,418.28,CMD-2025-000034
35,848,2024-12-27,Vendredi,278.0,CMD-2024-000035
36,342,2026-07-01,Mercredi,470.86,CMD-2026-000036
37,680,2026-05-27,Mercredi,779.95,CMD-2026-000037
38,864,2025-09-02,Mardi,441.07,CMD-2025-000038
39,277,2025-12-03,Mercredi,472.17,CMD-2025-000039
40,656,2024-01-22,Lundi,141.62,CMD-2024-000040
41,421,2026-05-26,Mardi,206.02,CMD-2026-000041
42,146,2024-12-31,Mardi,453.06,CMD-2024-000042
43,251,2025-08-14,Jeudi,669.49,CMD-2025-000043
44,997,2025-03-17,Lundi,329.87,CMD-2025-000044
45,763,2024-04-01,Lundi,182.51,CMD-2024-000045
46,978,2025-01-21,Mardi,578.46,CMD-2025-000046
47,989,2024-10-07,Lundi,790.65,CMD-2024-000047
48,696,2025-07-11,Vendredi,810.3,CMD-2025-000048
49,461,2026-06-16,Mardi,478.94,CMD-2026-000049
50,272,2025-11-26,Mercredi,320.46,CMD-2025-000050
51,340,2025-02-04,Mardi,534.33,CMD-2025-000051
52,968,2024-10-09,Mercredi,285.29,CMD-2024-000052
53,43,2025-08-16,Samedi,472.86,CMD-2025-000053
54,352,2026-05-04,Lundi,555.0,CMD-2026-000054
55,444,2026-03-25,Mercredi,414.96,CMD-2026-000055
56,992,2026-03-22,Dimanche,715.17,CMD-2026-000056
57,296,2024-04-22,Lundi,872.82,CMD-2024-000057
58,511,2025-12-02,Mardi,140.94,CMD-2025-000058
59,698,2024-06-02,Dimanche,475.63,CMD-2024-000059
60,297,2025-09-30,Mardi,506.74,CMD-2025-000060
61,167,2024-11-06,Mercredi,443.26,CMD-2024-000061
62,67,2026-03-29,Dimanche,272.3,CMD-2026-000062
63,465,2024-02-11,Dimanche,203.41,CMD-2024-000063
64,846,2025-08-30,Samedi,119.85,CMD-2025-000064
65,501,2024-11-09,Samedi,14.52,CMD-2024-000065
66,361,2025-11-07,Vendredi,752.35,CMD-2025-000066
67,52,2024-09-14,Samedi,132.56,CMD-2024-000067
68,900,2024-10-17,Jeudi,708.87,CMD-2024-000068
69,515,2025-11-12,Mercredi,863.08,CMD-2025-000069
70,575,2024-06-07,Vendredi,858.77,CMD-2024-000070
71,731,2024-10-04,Vendredi,136.94,CMD-2024-000071
72,751,2024-07-20,Samedi,394.52,CMD-2024-000072
73,941,2024-03-23,Samedi,268.8,CMD-2024-000073
74,33,2025-04-29,Mardi,840.3,CMD-2025-000074
75,255,2026-04-11,Samedi,613.86,CMD-2026-000075
76,396,2025-03-08,Samedi,365.2,CMD-2025-000076
77,926,2024-04-10,Mercredi,804.79,CMD-2024-000077
78,943,2024-11-05,Mardi,541.35,CMD-2024-000078
79,178,2025-07-31,Jeudi,397.87,CMD-2025-000079
80,897,2024-11-26,Mardi,725.89,CMD-2024-000080
81,143,2025-11-30,Dimanche,693.21,CMD-2025-000081
82,257,2024-05-18,Samedi,380.51,CMD-2024-000082
83,205,2024-11-04,Lundi,281.44,CMD-2024-000083
84,305,2025-08-03,Dimanche,835.13,CMD-2025-000084
85,473,2025-07-12,Samedi,173.19,CMD-2025-000085
86,802,2026-06-15,Lundi,752.12,CMD-2026-000086
87,99,2024-05-21,Mardi,478.64,CMD-2024-000087
88,711,2024-11-16,Samedi,458.39,CMD-2024-000088
89,702,2025-12-30,Mardi,328.22,CMD-2025-000089
90,363,2025-03-13,Jeudi,425.22,CMD-2025-000090
91,985,2025-02-24,Lundi,420.53,CMD-2025-000091
92,935,2025-07-26,Samedi,33.51,CMD-2025-000092
93,786,2025-03-07,Vendredi,88.69,CMD-2025-000093
94,144,2025-09-21,Dimanche,817.09,CMD-2025-000094
95,806,2024-09-05,Jeudi,526.48,CMD-2024-000095
96,383,2024-05-10,Vendredi,562.58,CMD-2024-000096
97,922,2025-08-02,Samedi,791.24,CMD-2025-000097
98,55,2026-02-12,Jeudi,762.14,CMD-2026-000098
99,129,2025-02-16,Dimanche,606.36,CMD-2025-000099
100,474,2026-04-06,Lundi,689.06,CMD-2026-000100
101,531,2025-04-16,Mercredi,756.88,CMD-2025-000101
102,87,2024-02-26,Lundi,250.45,CMD-2024-000102
103,666,2024-04-19,Vendredi,306.79,CMD-2024-000103
104,100,2026-04-21,Mardi,268.6,CMD-2026-000104
105,494,2025-12-08,Lundi,304.85,CMD-2025-000105
106,63,2024-05-04,Samedi,669.01,CMD-2024-000106
107,691,2025-06-07,Samedi,668.02,CMD-2025-000107
108,55,2025-12-19,Vendredi,192.5,CMD-2025-000108
109,148,2025-07-29,Mardi,668.97,CMD-2025-000109
110,508,2024-05-19,Dimanche,208.94,CMD-2024-000110
111,692,2025-10-17,Vendredi,768.5,CMD-2025-000111
112,309,2025-10-05,Dimanche,286.68,CMD-2025-000112
113,960,2024-01-07,Dimanche,726.99,CMD-2024-000113
114,639,2025-12-05,Vendredi,188.61,CMD-2025-000114
115,69,2024-01-01,Lundi,146.18,CMD-2024-000115
116,902,2024-05-03,Vendredi,472.63,CMD-2024-000116
117,254,2024-07-28,Dimanche,102.2,CMD-2024-000117
118,26,2026-05-02,Samedi,460.16,CMD-2026-000118
119,401,2024-02-26,Lundi,834.17,CMD-2024-000119
120,308,2025-02-18,Mardi,440.5,CMD-2025-000120
121,189,2026-04-19,Dimanche,219.08,CMD-2026-000121
122,869,2025-07-13,Dimanche,241.63,CMD-2025-000122
123,628,2025-11-28,Vendredi,400.82,CMD-2025-000123
124,674,2025-09-23,Mardi,119.63,CMD-2025-000124
125,150,2025-10-13,Lundi,29.27,CMD-2025-000125
126,146,2026-04-18,Samedi,672.68,CMD-2026-000126
127,247,2024-06-23,Dimanche,465.24,CMD-2024-000127
128,717,2025-07-13,Dimanche,188.3,CMD-2025-000128
129,492,2024-10-23,Mercredi,267.6,CMD-2024-000129
130,103,2025-08-25,Lundi,448.73,CMD-2025-000130
131,684,2024-10-08,Mardi,358.15,CMD-2024-000131
132,715,2026-03-30,Lundi,105.52,CMD-2026-000132
133,427,2026-04-13,Lundi,388.09,CMD-2026-000133
134,29,2024-10-17,Jeudi,416.79,CMD-2024-000134
135,578,2025-02-02,Dimanche,19.8,CMD-2025-000135
136,311,2024-02-04,Dimanche,584.14,CMD-2024-000136
137,915,2025-11-03,Lundi,561.68,CMD-2025-000137
138,44,2024-12-29,Dimanche,866.88,CMD-2024-000138
139,480,2026-06-22,Lundi,653.52,CMD-2026-000139
140,284,2024-01-10,Mercredi,883.75,CMD-2024-000140
141,367,2025-05-27,Mardi,771.69,CMD-2025-000141
142,516,2024-08-03,Samedi,320.45,CMD-2024-000142
143,724,2025-06-21,Samedi,357.65,CMD-2025-000143
144,65,2024-06-27,Jeudi,593.76,CMD-2024-000144
145,361,2025-11-02,Dimanche,650.09,CMD-2025-000145
146,348,2025-04-15,Mardi,646.5,CMD-2025-000146
147,806,2024-05-23,Jeudi,257.71,CMD-2024-000147
148,781,2025-11-05,Mercredi,279.6,CMD-2025-000148
149,404,2024-03-10,Dimanche,825.37,CMD-2024-000149
150,661,2025-05-10,Samedi,345.1,CMD-2025-000150
151,484,2025-09-12,Vendredi,596.47,CMD-2025-000151
152,590,2025-12-26,Vendredi,835.39,CMD-2025-000152
153,795,2025-11-05,Mercredi,477.63,CMD-2025-000153
154,133,2025-12-15,Lundi,298.42,CMD-2025-000154
155,979,2025-08-17,Dimanche,319.79,CMD-2025-000155
156,633,2026-04-29,Mercredi,369.35,CMD-2026-000156
157,47,2024-01-31,Mercredi,768.3,CMD-2024-000157
158,163,2024-08-25,Dimanche,95.91,CMD-2024-000158
159,109,2025-05-26,Lundi,841.46,CMD-2025-000159
160,488,2024-11-27,Mercredi,686.31,CMD-2024-000160
161,791,2026-04-07,Mardi,826.36,CMD-2026-000161
162,815,2024-08-30,Vendredi,103.82,CMD-2024-000162
163,902,2024-06-27,Jeudi,658.06,CMD-2024-000163
164,394,2026-02-12,Jeudi,876.24,CMD-2026-000164
165,945,2024-03-06,Mercredi,65.1,CMD-2024-000165
166,257,2024-04-27,Samedi,43.29,CMD-2024-000166
167,768,2024-03-15,Vendredi,402.95,CMD-2024-000167
168,384,2025-09-13,Samedi,571.84,CMD-2025-000168
169,31,2024-06-27,Jeudi,295.82,CMD-2024-000169
170,716,2025-04-05,Samedi,346.08,CMD-2025-000170
171,653,2025-08-10,Dimanche,505.25,CMD-2025-000171
172,201,2024-09-15,Dimanche,447.07,CMD-2024-000172
173,696,2024-10-19,Samedi,210.68,CMD-2024-000173
174,760,2024-06-14,Vendredi,396.31,CMD-2024-000174
175,542,2026-04-08,Mercredi,713.09,CMD-2026-000175
176,89,2025-08-19,Mardi,31.57,CMD-2025-000176
177,983,2025-11-15,Samedi,95.61,CMD-2025-000177
178,35,2026-04-09,Jeudi,135.09,CMD-2026-000178
179,6,2025-01-03,Vendredi,699.19,CMD-2025-000179
180,582,2025-07-13,Dimanche,779.39,CMD-2025-000180
181,349,2024-07-08,Lundi,617.29,CMD-2024-000181
182,981,2026-01-15,Jeudi,581.58,CMD-2026-000182
183,509,2024-07-13,Samedi,750.83,CMD-2024-000183
184,585,2026-04-27,Lundi,431.61,CMD-2026-000184
185,361,2024-12-31,Mardi,560.44,CMD-2024-000185
186,573,2026-05-23,Samedi,132.7,CMD-2026-000186
187,69,2025-03-25,Mardi,390.48,CMD-2025-000187
188,386,2026-06-13,Samedi,73.06,CMD-2026-000188
189,81,2024-05-10,Vendredi,706.31,CMD-2024-000189
190,306,2024-04-13,Samedi,114.95,CMD-2024-000190
191,237,2024-02-22,Jeudi,545.32,CMD-2024-000191
192,339,2024-01-24,Mercredi,209.37,CMD-2024-000192
193,964,2024-10-23,Mercredi,830.81,CMD-2024-000193
194,258,2025-02-03,Lundi,635.9,CMD-2025-000194
195,70,2026-06-12,Vendredi,785.6,CMD-2026-000195
196,992,2024-10-21,Lundi,76.54,CMD-2024-000196
197,590,2024-09-04,Mercredi,769.33,CMD-2024-000197
198,955,2025-09-17,Mercredi,455.03,CMD-2025-000198
199,409,2025-09-25,Jeudi,60.41,CMD-2025-000199
200,715,2026-07-02,Jeudi,108.67,CMD-2026-000200
201,483,2024-09-26,Jeudi,591.37,CMD-2024-000201
202,34,2024-12-12,Jeudi,385.04,CMD-2024-000202
203,206,2024-12-08,Dimanche,800.33,CMD-2024-000203
204,61,2024-05-22,Mercredi,191.76,CMD-2024-000204
205,837,2026-01-21,Mercredi,303.34,CMD-2026-000205
206,776,2025-11-10,Lundi,821.95,CMD-2025-000206
207,64,2024-08-29,Jeudi,449.25,CMD-2024-000207
208,825,2025-07-31,Jeudi,814.84,CMD-2025-000208
209,720,2026-05-05,Mardi,691.35,CMD-2026-000209
210,37,2024-12-20,Vendredi,883.13,CMD-2024-000210
211,973,2025-03-02,Dimanche,542.34,CMD-2025-000211
212,628,2024-03-23,Samedi,799.88,CMD-2024-000212
213,491,2024-05-12,Dimanche,250.74,CMD-2024-000213
214,43,2024-04-16,Mardi,41.67,CMD-2024-000214
215,520,2024-08-18,Dimanche,588.79,CMD-2024-000215
216,442,2025-05-04,Dimanche,280.03,CMD-2025-000216
217,871,2026-06-16,Mardi,874.59,CMD-2026-000217
218,22,2024-02-26,Lundi,33.44,CMD-2024-000218
219,801,2026-04-10,Vendredi,184.59,CMD-2026-000219
220,623,2026-05-30,Samedi,347.65,CMD-2026-000220
221,701,2026-01-25,Dimanche,26.09,CMD-2026-000221
222,494,2024-02-23,Vendredi,354.53,CMD-2024-000222
223,387,2025-12-13,Samedi,121.45,CMD-2025-000223
224,719,2025-03-13,Jeudi,499.08,CMD-2025-000224
225,119,2025-03-24,Lundi,115.0,CMD-2025-000225
226,631,2025-01-11,Samedi,323.08,CMD-2025-000226
227,352,2025-03-23,Dimanche,827.07,CMD-2025-000227
228,244,2024-08-25,Dimanche,91.86,CMD-2024-000228
229,11,2024-08-20,Mardi,377.62,CMD-2024-000229
230,771,2026-06-28,Dimanche,728.87,CMD-2026-000230
231,550,2025-08-04,Lundi,50.73,CMD-2025-000231
232,822,2024-01-16,Mardi,787.19,CMD-2024-000232
233,256,2026-04-12,Dimanche,60.62,CMD-2026-000233
234,59,2024-05-09,Jeudi,400.3,CMD-2024-000234
235,290,2024-02-14,Mercredi,289.56,CMD-2024-000235
236,617,2025-11-01,Samedi,802.47,CMD-2025-000236
237,300,2024-05-12,Dimanche,549.44,CMD-2024-000237
238,491,2025-11-04,Mardi,118.9,CMD-2025-000238
239,79,2024-03-19,Mardi,232.67,CMD-2024-000239
240,557,2024-07-29,Lundi,450.48,CMD-2024-000240
241,753,2026-04-12,Dimanche,327.68,CMD-2026-000241
242,938,2026-05-29,Vendredi,206.05,CMD-2026-000242
243,731,2024-11-05,Mardi,847.86,CMD-2024-000243
244,799,2025-07-18,Vendredi,270.48,CMD-2025-000244
245,670,2024-09-07,Samedi,478.88,CMD-2024-000245
246,274,2024-11-22,Vendredi,631.01,CMD-2024-000246
247,516,2024-04-16,Mardi,58.05,CMD-2024-000247
248,923,2025-02-24,Lundi,637.89,CMD-2025-000248
249,637,2025-05-12,Lundi,259.0,CMD-2025-000249
250,209,2024-05-20,Lundi,758.86,CMD-2024-000250
251,534,2024-08-24,Samedi,281.39,CMD-2024-000251
252,567,2024-08-03,Samedi,119.24,CMD-2024-000252
253,743,2026-04-15,Mercredi,711.26,CMD-2026-000253
254,37,2024-08-28,Mercredi,631.51,CMD-2024-000254
255,666,2026-02-21,Samedi,413.84,CMD-2026-000255
256,117,2024-01-22,Lundi,454.02,CMD-2024-000256
257,35,2024-10-03,Jeudi,257.38,CMD-2024-000257
258,394,2024-11-03,Dimanche,746.18,CMD-2024-000258
259,87,2024-03-02,Samedi,258.38,CMD-2024-000259
260,625,2025-01-28,Mardi,450.86,CMD-2025-000260
261,884,2025-01-26,Dimanche,352.34,CMD-2025-000261
262,46,2024-08-17,Samedi,193.09,CMD-2024-000262
263,189,2025-11-06,Jeudi,393.66,CMD-2025-000263
264,54,2025-11-07,Vendredi,281.57,CMD-2025-000264
265,555,2026-02-20,Vendredi,319.54,CMD-2026-000265
266,27,2025-09-15,Lundi,681.48,CMD-2025-000266
267,345,2026-04-28,Mardi,817.62,CMD-2026-000267
268,830,2026-02-10,Mardi,535.94,CMD-2026-000268
269,776,2024-01-29,Lundi,313.43,CMD-2024-000269
270,850,2025-09-28,Dimanche,396.32,CMD-2025-000270
271,438,2026-03-12,Jeudi,659.0,CMD-2026-000271
272,754,2026-02-09,Lundi,60.83,CMD-2026-000272
273,112,2025-07-20,Dimanche,355.41,CMD-2025-000273
274,739,2025-11-25,Mardi,265.79,CMD-2025-000274
275,961,2025-07-01,Mardi,422.51,CMD-2025-000275
276,587,2026-01-06,Mardi,515.78,CMD-2026-000276
277,532,2024-09-23,Lundi,154.66,CMD-2024-000277
278,391,2025-04-23,Mercredi,673.6,CMD-2025-000278
279,947,2024-08-31,Samedi,127.36,CMD-2024-000279
280,16,2024-10-14,Lundi,721.62,CMD-2024-000280
281,974,2024-10-07,Lundi,86.12,CMD-2024-000281
282,256,2026-02-28,Samedi,493.09,CMD-2026-000282
283,346,2025-08-07,Jeudi,361.19,CMD-2025-000283
284,631,2024-10-07,Lundi,331.9,CMD-2024-000284
285,676,2024-09-13,Vendredi,706.35,CMD-2024-000285
286,830,2026-03-01,Dimanche,551.11,CMD-2026-000286
287,128,2024-11-10,Dimanche,515.9,CMD-2024-000287
288,329,2026-05-06,Mercredi,245.41,CMD-2026-000288
289,184,2025-03-30,Dimanche,421.81,CMD-2025-000289
290,451,2024-01-10,Mercredi,425.12,CMD-2024-000290
291,990,2025-01-02,Jeudi,437.38,CMD-2025-000291
292,865,2025-07-23,Mercredi,203.87,CMD-2025-000292
293,60,2025-08-16,Samedi,845.55,CMD-2025-000293
294,284,2025-09-16,Mardi,500.78,CMD-2025-000294
295,977,2024-03-06,Mercredi,401.98,CMD-2024-000295
296,265,2026-02-23,Lundi,710.18,CMD-2026-000296
297,266,2026-06-08,Lundi,450.48,CMD-2026-000297
298,233,2025-10-07,Mardi,165.29,CMD-2025-000298
299,893,2025-09-24,Mercredi,593.81,CMD-2025-000299
300,239,2024-04-27,Samedi,592.58,CMD-2024-000300
301,189,2025-12-01,Lundi,460.97,CMD-2025-000301
302,451,2025-08-16,Samedi,292.42,CMD-2025-000302
303,567,2026-01-04,Dimanche,212.87,CMD-2026-000303
304,975,2026-01-01,Jeudi,892.84,CMD-2026-000304
305,999,2024-09-20,Vendredi,24.34,CMD-2024-000305
306,866,2026-05-28,Jeudi,765.96,CMD-2026-000306
307,554,2026-01-05,Lundi,49.8,CMD-2026-000307
308,241,2024-12-24,Mardi,107.15,CMD-2024-000308
309,520,2025-03-30,Dimanche,110.72,CMD-2025-000309
310,80,2024-08-30,Vendredi,191.59,CMD-2024-000310
311,585,2025-01-15,Mercredi,747.92,CMD-2025-000311
312,698,2025-03-01,Samedi,73.53,CMD-2025-000312
313,437,2026-06-15,Lundi,261.94,CMD-2026-000313
314,26,2024-11-30,Samedi,550.19,CMD-2024-000314
315,369,2024-12-09,Lundi,877.83,CMD-2024-000315
316,919,2025-10-29,Mercredi,343.49,CMD-2025-000316
317,966,2024-10-28,Lundi,563.5,CMD-2024-000317
318,165,2025-01-12,Dimanche,49.69,CMD-2025-000318
319,953,2024-06-02,Dimanche,821.56,CMD-2024-000319
320,27,2024-04-18,Jeudi,552.03,CMD-2024-000320
321,828,2024-11-16,Samedi,464.6,CMD-2024-000321
322,800,2026-01-29,Jeudi,462.27,CMD-2026-000322
323,596,2025-12-30,Mardi,316.2,CMD-2025-000323
324,221,2025-01-22,Mercredi,749.34,CMD-2025-000324
325,34,2025-11-03,Lundi,656.36,CMD-2025-000325
326,391,2026-02-19,Jeudi,898.05,CMD-2026-000326
327,81,2024-03-20,Mercredi,863.17,CMD-2024-000327
328,230,2025-08-01,Vendredi,458.1,CMD-2025-000328
329,589,2025-10-07,Mardi,497.92,CMD-2025-000329
330,429,2025-07-05,Samedi,662.4,CMD-2025-000330
331,868,2026-06-18,Jeudi,479.69,CMD-2026-000331
332,53,2025-09-13,Samedi,430.36,CMD-2025-000332
333,538,2025-06-16,Lundi,402.5,CMD-2025-000333
334,276,2024-07-18,Jeudi,754.04,CMD-2024-000334
335,301,2024-09-06,Vendredi,302.52,CMD-2024-000335
336,819,2026-02-25,Mercredi,879.94,CMD-2026-000336
337,237,2025-04-11,Vendredi,290.18,CMD-2025-000337
338,996,2024-04-28,Dimanche,626.83,CMD-2024-000338
339,456,2026-01-20,Mardi,862.26,CMD-2026-000339
340,420,2025-01-05,Dimanche,80.91,CMD-2025-000340
341,574,2025-06-01,Dimanche,78.02,CMD-2025-000341
342,371,2025-10-31,Vendredi,440.89,CMD-2025-000342
343,236,2025-04-04,Vendredi,709.8,CMD-2025-000343
344,236,2025-08-06,Mercredi,746.75,CMD-2025-000344
345,129,2025-07-04,Vendredi,227.99,CMD-2025-000345
346,932,2025-02-21,Vendredi,609.94,CMD-2025-000346
347,682,2024-05-21,Mardi,548.93,CMD-2024-000347
348,815,2024-10-20,Dimanche,313.99,CMD-2024-000348
349,121,2024-03-24,Dimanche,373.56,CMD-2024-000349
350,518,2024-05-31,Vendredi,522.64,CMD-2024-000350
351,648,2026-06-21,Dimanche,697.64,CMD-2026-000351
352,922,2024-07-03,Mercredi,789.99,CMD-2024-000352
353,16,2024-06-19,Mercredi,117.49,CMD-2024-000353
354,270,2026-02-22,Dimanche,503.57,CMD-2026-000354
355,953,2025-04-26,Samedi,671.13,CMD-2025-000355
356,130,2026-06-09,Mardi,40.32,CMD-2026-000356
357,442,2024-01-25,Jeudi,624.13,CMD-2024-000357
358,75,2024-05-15,Mercredi,468.25,CMD-2024-000358
359,543,2025-02-01,Samedi,814.78,CMD-2025-000359
360,363,2024-05-10,Vendredi,368.05,CMD-2024-000360
361,571,2024-09-04,Mercredi,643.66,CMD-2024-000361
362,122,2024-12-10,Mardi,808.7,CMD-2024-000362
363,920,2024-12-10,Mardi,536.41,CMD-2024-000363
364,632,2024-04-20,Samedi,894.77,CMD-2024-000364
365,47,2024-03-16,Samedi,667.48,CMD-2024-000365
366,364,2025-04-04,Vendredi,820.49,CMD-2025-000366
367,646,2025-04-05,Samedi,669.21,CMD-2025-000367
368,447,2024-10-23,Mercredi,684.31,CMD-2024-000368
369,717,2024-05-17,Vendredi,662.75,CMD-2024-000369
370,742,2026-02-23,Lundi,534.7,CMD-2026-000370
371,840,2025-06-05,Jeudi,84.56,CMD-2025-000371
372,918,2024-01-08,Lundi,538.25,CMD-2024-000372
373,379,2025-11-21,Vendredi,587.96,CMD-2025-000373
374,389,2024-11-24,Dimanche,400.33,CMD-2024-000374
375,521,2026-01-09,Vendredi,533.38,CMD-2026-000375
376,968,2026-03-02,Lundi,96.23,CMD-2026-000376
377,305,2025-05-20,Mardi,313.58,CMD-2025-000377
378,578,2025-06-14,Samedi,808.59,CMD-2025-000378
379,594,2025-06-04,Mercredi,761.21,CMD-2025-000379
380,437,2024-10-19,Samedi,297.28,CMD-2024-000380
381,327,2026-02-14,Samedi,168.78,CMD-2026-000381
382,147,2024-02-12,Lundi,734.44,CMD-2024-000382
383,753,2026-06-22,Lundi,890.38,CMD-2026-000383
384,216,2025-03-16,Dimanche,472.02,CMD-2025-000384
385,589,2026-06-19,Vendredi,557.76,CMD-2026-000385
386,102,2024-12-21,Samedi,263.45,CMD-2024-000386
387,122,2024-10-21,Lundi,253.72,CMD-2024-000387
388,450,2024-08-17,Samedi,797.95,CMD-2024-000388
389,296,2024-09-22,Dimanche,890.03,CMD-2024-000389
390,772,2024-04-18,Jeudi,832.81,CMD-2024-000390
391,683,2024-10-12,Samedi,135.48,CMD-2024-000391
392,212,2025-07-19,Samedi,756.51,CMD-2025-000392
393,773,2024-06-21,Vendredi,34.33,CMD-2024-000393
394,925,2024-02-10,Samedi,864.26,CMD-2024-000394
395,553,2025-07-04,Vendredi,721.09,CMD-2025-000395
396,7,2025-05-15,Jeudi,750.92,CMD-2025-000396
397,27,2025-01-13,Lundi,190.79,CMD-2025-000397
398,965,2025-08-07,Jeudi,389.58,CMD-2025-000398
399,456,2025-06-17,Mardi,122.29,CMD-2025-000399
400,465,2024-10-29,Mardi,827.01,CMD-2024-000400
401,734,2025-12-24,Mercredi,828.06,CMD-2025-000401
402,123,2025-03-31,Lundi,801.09,CMD-2025-000402
403,506,2024-09-26,Jeudi,87.3,CMD-2024-000403
404,141,2024-10-12,Samedi,661.14,CMD-2024-000404
405,120,2024-12-28,Samedi,725.23,CMD-2024-000405
406,763,2026-03-23,Lundi,207.96,CMD-2026-000406
407,77,2024-11-30,Samedi,149.48,CMD-2024-000407
408,344,2024-10-09,Mercredi,413.57,CMD-2024-000408
409,754,2025-06-09,Lundi,608.14,CMD-2025-000409
410,76,2025-12-24,Mercredi,622.25,CMD-2025-000410
411,914,2024-02-09,Vendredi,395.7,CMD-2024-000411
412,955,2025-12-23,Mardi,716.83,CMD-2025-000412
413,326,2024-07-13,Samedi,758.86,CMD-2024-000413
414,677,2026-05-07,Jeudi,791.03,CMD-2026-000414
415,37,2025-10-11,Samedi,568.27,CMD-2025-000415
416,252,2024-05-20,Lundi,531.84,CMD-2024-000416
417,894,2024-08-13,Mardi,609.27,CMD-2024-000417
418,272,2025-04-26,Samedi,144.77,CMD-2025-000418
419,834,2024-07-10,Mercredi,662.86,CMD-2024-000419
420,290,2024-05-14,Mardi,186.72,CMD-2024-000420
421,897,2024-03-31,Dimanche,856.23,CMD-2024-000421
422,878,2026-01-10,Samedi,677.0,CMD-2026-000422
423,4,2025-03-20,Jeudi,69.85,CMD-2025-000423
424,572,2025-09-17,Mercredi,195.6,CMD-2025-000424
425,183,2024-02-09,Vendredi,382.15,CMD-2024-000425
426,270,2025-09-20,Samedi,348.45,CMD-2025-000426
427,598,2024-08-28,Mercredi,577.56,CMD-2024-000427
428,496,2025-06-27,Vendredi,594.67,CMD-2025-000428
429,185,2026-06-17,Mercredi,277.08,CMD-2026-000429
430,238,2026-06-15,Lundi,269.97,CMD-2026-000430
431,497,2025-05-16,Vendredi,719.09,CMD-2025-000431
432,402,2025-09-04,Jeudi,327.83,CMD-2025-000432
433,493,2024-10-29,Mardi,95.9,CMD-2024-000433
434,116,2026-06-21,Dimanche,808.16,CMD-2026-000434
435,783,2024-10-21,Lundi,383.43,CMD-2024-000435
436,458,2024-11-29,Vendredi,230.17,CMD-2024-000436
437,436,2024-04-28,Dimanche,166.8,CMD-2024-000437
438,980,2024-11-22,Vendredi,597.94,CMD-2024-000438
439,356,2025-12-14,Dimanche,364.29,CMD-2025-000439
440,132,2026-03-03,Mardi,795.12,CMD-2026-000440
441,861,2026-04-04,Samedi,778.96,CMD-2026-000441
442,616,2025-02-25,Mardi,621.62,CMD-2025-000442
443,30,2024-10-24,Jeudi,248.44,CMD-2024-000443
444,221,2026-06-30,Mardi,767.37,CMD-2026-000444
445,419,2024-03-03,Dimanche,510.4,CMD-2024-000445
446,331,2024-09-24,Mardi,610.73,CMD-2024-000446
447,422,2025-02-04,Mardi,730.03,CMD-2025-000447
448,436,2025-02-12,Mercredi,242.01,CMD-2025-000448
449,56,2024-10-01,Mardi,442.09,CMD-2024-000449
450,225,2024-12-13,Vendredi,576.27,CMD-2024-000450
451,47,2024-11-11,Lundi,408.39,CMD-2024-000451
452,227,2025-08-09,Samedi,789.29,CMD-2025-000452
453,549,2024-07-30,Mardi,703.79,CMD-2024-000453
454,113,2025-09-20,Samedi,553.56,CMD-2025-000454
455,133,2025-09-11,Jeudi,490.38,CMD-2025-000455
456,974,2026-01-09,Vendredi,28.78,CMD-2026-000456
457,389,2024-04-02,Mardi,704.58,CMD-2024-000457
