id_offre;competence;intitule_poste;region
OFR-2025051;KPI;Chef de Projet Data/IA;Occitanie
OFR-2025051;Power BI;Chef de Projet Data/IA;Occitanie
OFR-2025051;SQL;Chef de Projet Data/IA;Occitanie
OFR-2025052;Python;ML Engineer;Île-de-France
OFR-2025052;MLOps;ML Engineer;Île-de-France
OFR-2025052;Docker;ML Engineer;Île-de-France
OFR-2025052;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025053;Python;ML Engineer;Île-de-France
OFR-2025053;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025053;Docker;ML Engineer;Île-de-France
OFR-2025053;MLOps;ML Engineer;Île-de-France
OFR-2025054;Python;Chef de Projet Data/IA;Île-de-France
OFR-2025054;Gestion de projet;Chef de Projet Data/IA;Île-de-France
OFR-2025054;Power BI;Chef de Projet Data/IA;Île-de-France
OFR-2025055;Python;Data Analyst;Île-de-France
OFR-2025055;Excel;Data Analyst;Île-de-France
OFR-2025055;Tableau;Data Analyst;Île-de-France
OFR-2025055;Power Query;Data Analyst;Île-de-France
OFR-2025056;Python;Data Engineer;PACA
OFR-2025056;Airflow;Data Engineer;PACA
OFR-2025056;SQL;Data Engineer;PACA
OFR-2025057;Python;ML Engineer;Pays de la Loire
OFR-2025057;MLOps;ML Engineer;Pays de la Loire
OFR-2025057;Docker;ML Engineer;Pays de la Loire
OFR-2025057;Cloud (AWS/Azure/GCP);ML Engineer;Pays de la Loire
OFR-2025058;Power Query;Data Analyst;Île-de-France
OFR-2025058;Excel;Data Analyst;Île-de-France
OFR-2025058;Tableau;Data Analyst;Île-de-France
OFR-2025059;Airflow;Data Engineer;Pays de la Loire
OFR-2025059;SQL;Data Engineer;Pays de la Loire
OFR-2025059;ETL;Data Engineer;Pays de la Loire
OFR-2025060;DAX;Data Analyst;Île-de-France
OFR-2025060;Python;Data Analyst;Île-de-France
OFR-2025060;Excel;Data Analyst;Île-de-France
OFR-2025060;Power BI;Data Analyst;Île-de-France
OFR-2025060;Tableau;Data Analyst;Île-de-France
OFR-2025061;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025061;Spark;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025061;Docker;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025061;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025061;Python;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025062;Tableau;Data Analyst;PACA
OFR-2025062;Excel;Data Analyst;PACA
OFR-2025062;Power Query;Data Analyst;PACA
OFR-2025063;Python;AI Engineer;Île-de-France
OFR-2025063;RAG;AI Engineer;Île-de-France
OFR-2025063;Hugging Face;AI Engineer;Île-de-France
OFR-2025064;SQL;Data Engineer;Occitanie
OFR-2025064;Cloud (AWS/Azure/GCP);Data Engineer;Occitanie
OFR-2025064;Python;Data Engineer;Occitanie
OFR-2025064;ETL;Data Engineer;Occitanie
OFR-2025065;MLOps;ML Engineer;Auvergne-Rhône-Alpes
OFR-2025065;TensorFlow/PyTorch;ML Engineer;Auvergne-Rhône-Alpes
OFR-2025065;Git/CI-CD;ML Engineer;Auvergne-Rhône-Alpes
OFR-2025065;Python;ML Engineer;Auvergne-Rhône-Alpes
OFR-2025066;Power BI;Chef de Projet Data/IA;Pays de la Loire
OFR-2025066;Agile/Scrum;Chef de Projet Data/IA;Pays de la Loire
OFR-2025066;Python;Chef de Projet Data/IA;Pays de la Loire
OFR-2025066;KPI;Chef de Projet Data/IA;Pays de la Loire
OFR-2025067;Cloud (AWS/Azure/GCP);Data Engineer;Auvergne-Rhône-Alpes
OFR-2025067;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025067;Docker;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025067;Airflow;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025068;Cloud (AWS/Azure/GCP);Data Engineer;Île-de-France
OFR-2025068;Python;Data Engineer;Île-de-France
OFR-2025068;ETL;Data Engineer;Île-de-France
OFR-2025069;ETL;Data Engineer;Centre-Val de Loire
OFR-2025069;Spark;Data Engineer;Centre-Val de Loire
OFR-2025069;Docker;Data Engineer;Centre-Val de Loire
OFR-2025069;SQL;Data Engineer;Centre-Val de Loire
OFR-2025069;Cloud (AWS/Azure/GCP);Data Engineer;Centre-Val de Loire
OFR-2025070;Gestion de projet;Chef de Projet Data/IA;Centre-Val de Loire
OFR-2025070;Agile/Scrum;Chef de Projet Data/IA;Centre-Val de Loire
OFR-2025070;Power BI;Chef de Projet Data/IA;Centre-Val de Loire
OFR-2025070;SQL;Chef de Projet Data/IA;Centre-Val de Loire
OFR-2025070;Python;Chef de Projet Data/IA;Centre-Val de Loire
OFR-2025071;RAG;AI Engineer;Île-de-France
OFR-2025071;LLM;AI Engineer;Île-de-France
OFR-2025071;Cloud (AWS/Azure/GCP);AI Engineer;Île-de-France
OFR-2025071;Hugging Face;AI Engineer;Île-de-France
OFR-2025071;Python;AI Engineer;Île-de-France
OFR-2025072;Docker;ML Engineer;Pays de la Loire
OFR-2025072;Python;ML Engineer;Pays de la Loire
OFR-2025072;Cloud (AWS/Azure/GCP);ML Engineer;Pays de la Loire
OFR-2025072;MLOps;ML Engineer;Pays de la Loire
OFR-2025073;Python;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025073;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025073;Cloud (AWS/Azure/GCP);Data Engineer;Auvergne-Rhône-Alpes
OFR-2025073;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025074;SQL;Data Engineer;Centre-Val de Loire
OFR-2025074;Airflow;Data Engineer;Centre-Val de Loire
OFR-2025074;Docker;Data Engineer;Centre-Val de Loire
OFR-2025074;ETL;Data Engineer;Centre-Val de Loire
OFR-2025075;RAG;AI Engineer;Nouvelle-Aquitaine
OFR-2025075;Cloud (AWS/Azure/GCP);AI Engineer;Nouvelle-Aquitaine
OFR-2025075;Python;AI Engineer;Nouvelle-Aquitaine
OFR-2025076;Python;Data Engineer;PACA
OFR-2025076;Airflow;Data Engineer;PACA
OFR-2025076;Spark;Data Engineer;PACA
OFR-2025077;Power BI;Data Analyst;Normandie
OFR-2025077;Power Query;Data Analyst;Normandie
OFR-2025077;Python;Data Analyst;Normandie
OFR-2025078;DAX;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025078;Excel;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025078;Tableau;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025078;Python;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025078;Power Query;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025079;Deep Learning;Data Scientist;Île-de-France
OFR-2025079;SQL;Data Scientist;Île-de-France
OFR-2025079;Scikit-learn;Data Scientist;Île-de-France
OFR-2025079;Python;Data Scientist;Île-de-France
OFR-2025080;KPI;Chef de Projet Data/IA;Île-de-France
OFR-2025080;Python;Chef de Projet Data/IA;Île-de-France
OFR-2025080;Agile/Scrum;Chef de Projet Data/IA;Île-de-France
OFR-2025080;SQL;Chef de Projet Data/IA;Île-de-France
OFR-2025080;Gestion de projet;Chef de Projet Data/IA;Île-de-France
OFR-2025081;Power BI;BI Analyst / Développeur Power BI;Nouvelle-Aquitaine
OFR-2025081;Power Query;BI Analyst / Développeur Power BI;Nouvelle-Aquitaine
OFR-2025081;KPI;BI Analyst / Développeur Power BI;Nouvelle-Aquitaine
OFR-2025081;Excel;BI Analyst / Développeur Power BI;Nouvelle-Aquitaine
OFR-2025082;Power BI;Chef de Projet Data/IA;Grand Est
OFR-2025082;KPI;Chef de Projet Data/IA;Grand Est
OFR-2025082;Python;Chef de Projet Data/IA;Grand Est
OFR-2025082;Gestion de projet;Chef de Projet Data/IA;Grand Est
OFR-2025083;SQL;Data Engineer;Grand Est
OFR-2025083;Spark;Data Engineer;Grand Est
OFR-2025083;Python;Data Engineer;Grand Est
OFR-2025083;Airflow;Data Engineer;Grand Est
OFR-2025083;Cloud (AWS/Azure/GCP);Data Engineer;Grand Est
OFR-2025084;Python;ML Engineer;Île-de-France
OFR-2025084;MLOps;ML Engineer;Île-de-France
OFR-2025084;Docker;ML Engineer;Île-de-France
OFR-2025084;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025085;Power BI;Data Analyst;Île-de-France
OFR-2025085;Tableau;Data Analyst;Île-de-France
OFR-2025085;SQL;Data Analyst;Île-de-France
OFR-2025085;Excel;Data Analyst;Île-de-France
OFR-2025085;Power Query;Data Analyst;Île-de-France
OFR-2025086;Gestion de projet;Chef de Projet Data/IA;Grand Est
OFR-2025086;SQL;Chef de Projet Data/IA;Grand Est
OFR-2025086;Power BI;Chef de Projet Data/IA;Grand Est
OFR-2025087;TensorFlow/PyTorch;ML Engineer;Occitanie
OFR-2025087;Git/CI-CD;ML Engineer;Occitanie
OFR-2025087;Cloud (AWS/Azure/GCP);ML Engineer;Occitanie
OFR-2025087;Python;ML Engineer;Occitanie
OFR-2025088;Docker;ML Engineer;PACA
OFR-2025088;Cloud (AWS/Azure/GCP);ML Engineer;PACA
OFR-2025088;TensorFlow/PyTorch;ML Engineer;PACA
OFR-2025088;MLOps;ML Engineer;PACA
OFR-2025089;Scikit-learn;Data Scientist;Île-de-France
OFR-2025089;Python;Data Scientist;Île-de-France
OFR-2025089;SQL;Data Scientist;Île-de-France
OFR-2025090;Docker;Data Engineer;Occitanie
OFR-2025090;Cloud (AWS/Azure/GCP);Data Engineer;Occitanie
OFR-2025090;SQL;Data Engineer;Occitanie
OFR-2025090;Spark;Data Engineer;Occitanie
OFR-2025091;Spark;Data Engineer;Île-de-France
OFR-2025091;SQL;Data Engineer;Île-de-France
OFR-2025091;Docker;Data Engineer;Île-de-France
OFR-2025091;Python;Data Engineer;Île-de-France
OFR-2025091;ETL;Data Engineer;Île-de-France
OFR-2025092;Docker;ML Engineer;Occitanie
OFR-2025092;Git/CI-CD;ML Engineer;Occitanie
OFR-2025092;Python;ML Engineer;Occitanie
OFR-2025092;Cloud (AWS/Azure/GCP);ML Engineer;Occitanie
OFR-2025093;Machine Learning;Data Scientist;Île-de-France
OFR-2025093;SQL;Data Scientist;Île-de-France
OFR-2025093;Deep Learning;Data Scientist;Île-de-France
OFR-2025093;Pandas;Data Scientist;Île-de-France
OFR-2025094;DAX;Data Analyst;Île-de-France
OFR-2025094;Python;Data Analyst;Île-de-France
OFR-2025094;Power Query;Data Analyst;Île-de-France
OFR-2025094;Tableau;Data Analyst;Île-de-France
OFR-2025095;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025095;Python;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025095;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025095;Docker;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025096;LLM;AI Engineer;PACA
OFR-2025096;Cloud (AWS/Azure/GCP);AI Engineer;PACA
OFR-2025096;NLP;AI Engineer;PACA
OFR-2025096;RAG;AI Engineer;PACA
OFR-2025097;Power BI;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025097;SQL;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025097;Pandas;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025098;Cloud (AWS/Azure/GCP);ML Engineer;Île-de-France
OFR-2025098;Docker;ML Engineer;Île-de-France
OFR-2025098;Python;ML Engineer;Île-de-France
OFR-2025098;MLOps;ML Engineer;Île-de-France
OFR-2025098;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025099;Airflow;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025099;Cloud (AWS/Azure/GCP);Data Engineer;Auvergne-Rhône-Alpes
OFR-2025099;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025100;Machine Learning;Data Scientist;PACA
OFR-2025100;Pandas;Data Scientist;PACA
OFR-2025100;Power BI;Data Scientist;PACA
OFR-2025101;DAX;Data Analyst;PACA
OFR-2025101;Power Query;Data Analyst;PACA
OFR-2025101;Tableau;Data Analyst;PACA
OFR-2025101;Excel;Data Analyst;PACA
OFR-2025101;Python;Data Analyst;PACA
OFR-2025102;ETL;Data Engineer;Nouvelle-Aquitaine
OFR-2025102;Docker;Data Engineer;Nouvelle-Aquitaine
OFR-2025102;SQL;Data Engineer;Nouvelle-Aquitaine
OFR-2025102;Airflow;Data Engineer;Nouvelle-Aquitaine
OFR-2025103;Python;ML Engineer;Centre-Val de Loire
OFR-2025103;Cloud (AWS/Azure/GCP);ML Engineer;Centre-Val de Loire
OFR-2025103;MLOps;ML Engineer;Centre-Val de Loire
OFR-2025103;TensorFlow/PyTorch;ML Engineer;Centre-Val de Loire
OFR-2025103;Docker;ML Engineer;Centre-Val de Loire
OFR-2025104;DAX;Data Analyst;Bretagne
OFR-2025104;Python;Data Analyst;Bretagne
OFR-2025104;Power Query;Data Analyst;Bretagne
OFR-2025105;Power BI;Data Scientist;Normandie
OFR-2025105;Deep Learning;Data Scientist;Normandie
OFR-2025105;SQL;Data Scientist;Normandie
OFR-2025106;Docker;ML Engineer;Île-de-France
OFR-2025106;Cloud (AWS/Azure/GCP);ML Engineer;Île-de-France
OFR-2025106;MLOps;ML Engineer;Île-de-France
OFR-2025106;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025107;Cloud (AWS/Azure/GCP);Data Engineer;Nouvelle-Aquitaine
OFR-2025107;ETL;Data Engineer;Nouvelle-Aquitaine
OFR-2025107;Airflow;Data Engineer;Nouvelle-Aquitaine
OFR-2025107;Spark;Data Engineer;Nouvelle-Aquitaine
OFR-2025107;SQL;Data Engineer;Nouvelle-Aquitaine
OFR-2025108;Power BI;Data Scientist;PACA
OFR-2025108;Python;Data Scientist;PACA
OFR-2025108;Pandas;Data Scientist;PACA
OFR-2025108;Deep Learning;Data Scientist;PACA
OFR-2025109;SQL;Data Engineer;Île-de-France
OFR-2025109;ETL;Data Engineer;Île-de-France
OFR-2025109;Spark;Data Engineer;Île-de-France
OFR-2025109;Python;Data Engineer;Île-de-France
OFR-2025110;Cloud (AWS/Azure/GCP);AI Engineer;PACA
OFR-2025110;LLM;AI Engineer;PACA
OFR-2025110;LangChain;AI Engineer;PACA
OFR-2025110;NLP;AI Engineer;PACA
OFR-2025111;Python;Data Scientist;Occitanie
OFR-2025111;Deep Learning;Data Scientist;Occitanie
OFR-2025111;Scikit-learn;Data Scientist;Occitanie
OFR-2025111;SQL;Data Scientist;Occitanie
OFR-2025112;Power BI;BI Analyst / Développeur Power BI;Grand Est
OFR-2025112;DAX;BI Analyst / Développeur Power BI;Grand Est
OFR-2025112;SQL;BI Analyst / Développeur Power BI;Grand Est
OFR-2025112;KPI;BI Analyst / Développeur Power BI;Grand Est
OFR-2025113;Power BI;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025113;Deep Learning;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025113;SQL;Data Scientist;Auvergne-Rhône-Alpes
OFR-2025114;SQL;Data Scientist;Grand Est
OFR-2025114;Machine Learning;Data Scientist;Grand Est
OFR-2025114;Deep Learning;Data Scientist;Grand Est
OFR-2025115;Docker;Data Engineer;PACA
OFR-2025115;Airflow;Data Engineer;PACA
OFR-2025115;ETL;Data Engineer;PACA
OFR-2025115;SQL;Data Engineer;PACA
OFR-2025115;Cloud (AWS/Azure/GCP);Data Engineer;PACA
OFR-2025116;Python;Data Engineer;Nouvelle-Aquitaine
OFR-2025116;Airflow;Data Engineer;Nouvelle-Aquitaine
OFR-2025116;ETL;Data Engineer;Nouvelle-Aquitaine
OFR-2025116;Docker;Data Engineer;Nouvelle-Aquitaine
OFR-2025117;KPI;Chef de Projet Data/IA;Île-de-France
OFR-2025117;Gestion de projet;Chef de Projet Data/IA;Île-de-France
OFR-2025117;SQL;Chef de Projet Data/IA;Île-de-France
