id,commande_id,produit_id,quantite_achetee
169,63,158,1
170,63,191,3
171,64,65,3
172,64,80,1
173,64,164,1
174,64,150,2
175,64,170,2
176,65,158,4
177,65,161,3
178,65,111,1
179,66,126,1
180,66,59,1
181,67,1,3
182,68,28,2
183,68,134,4
184,68,92,3
185,69,35,2
186,69,53,2
187,69,94,1
188,69,160,2
189,69,122,2
190,70,25,3
191,70,17,4
192,70,164,3
193,70,38,1
194,71,166,3
195,72,166,4
196,72,149,2
197,72,114,2
198,72,155,1
199,72,133,1
200,73,137,1
201,74,48,1
202,74,61,1
203,74,41,2
204,74,15,2
205,75,52,4
206,75,133,2
207,75,156,3
208,75,165,1
209,76,161,4
210,76,13,1
211,76,186,4
212,77,191,4
213,77,120,2
214,77,21,2
215,77,190,1
216,78,60,1
217,78,165,3
218,78,10,3
219,79,69,4
220,80,68,1
221,80,76,2
222,80,165,3
223,80,56,2
224,80,22,2
225,81,192,2
226,81,84,4
227,82,154,4
228,82,62,4
229,82,98,1
230,83,112,2
231,84,79,1
232,84,55,2
233,84,101,2
234,84,160,1
235,84,150,1
236,85,28,2
237,86,37,1
238,86,180,1
239,86,8,2
240,87,179,1
241,88,17,3
242,89,137,1
243,89,171,4
244,90,64,2
245,91,29,1
246,91,9,1
247,92,123,1
248,92,26,2
249,92,34,3
250,93,87,1
251,93,109,3
252,93,67,3
253,94,13,3
254,94,184,3
255,94,195,4
256,95,159,4
257,95,191,1
258,95,8,4
259,96,198,1
260,96,26,2
261,96,89,1
262,96,121,3
263,96,181,2
264,97,1,1
265,97,135,1
266,97,52,3
267,97,74,4
268,98,126,2
269,99,152,2
270,99,89,3
271,99,132,2
272,99,67,2
273,100,43,1
274,100,29,4
275,100,163,1
276,100,197,3
277,101,25,1
278,101,103,4
279,101,102,1
280,102,53,4
281,102,78,2
282,102,68,4
283,103,118,1
284,103,33,3
285,104,84,3
286,104,134,2
287,104,40,4
288,104,116,4
289,104,170,3
290,105,60,2
291,105,33,2
292,105,86,3
293,105,119,3
294,105,165,2
295,106,64,3
296,106,186,3
297,107,61,2
298,107,84,3
299,108,43,1
300,109,99,2
301,109,39,3
302,110,112,1
303,110,71,1
304,110,51,3
305,111,100,1
306,111,119,1
307,112,112,3
308,112,178,4
309,112,57,1
310,112,129,2
311,113,155,1
312,113,189,2
313,113,104,4
314,114,151,2
315,114,192,2
316,114,166,1
317,114,108,4
318,114,59,4
319,115,67,1
320,115,161,4
321,115,180,2
322,116,183,4
323,116,162,4
324,116,41,4
325,116,65,1
326,117,105,3
327,117,133,1
328,117,173,4
329,117,170,4
330,117,47,1
331,118,65,2
332,119,184,3
333,119,52,1
334,120,117,1
335,120,139,3
336,120,53,3
337,120,184,4
338,120,122,4
339,121,176,4
340,121,48,1
341,122,92,4
342,122,164,4
343,122,15,1
344,122,65,1
345,122,71,1
346,123,108,3
347,123,161,3
348,123,179,1
349,123,173,2
350,124,190,2
351,124,103,4
352,124,135,4
353,125,43,1
354,125,34,2
355,126,165,2
356,126,144,3
357,126,185,4
358,126,58,4
359,127,195,2
360,127,141,4
361,127,167,3
362,128,69,4
363,128,181,3
364,129,174,3
365,129,48,3
366,129,124,2
367,129,1,3
368,130,123,1
369,130,125,3
370,130,110,2
371,131,99,3
372,131,15,2
373,131,22,3
374,132,4,3
375,132,169,3
376,132,3,1
377,132,54,2
378,132,19,2
379,133,199,3
380,133,116,2
381,134,104,2
382,134,137,1
383,135,163,2
384,135,77,1
385,135,51,4
386,135,127,1
387,135,178,1
388,136,108,4
389,136,60,4
390,136,36,1
391,137,120,2
392,137,37,4
393,137,180,2
394,137,126,1
395,138,83,4
396,138,120,3
397,139,96,1
398,139,110,2
399,139,108,3
400,139,174,1
401,140,157,1
402,141,25,4
403,141,131,2
404,141,124,1
405,142,184,2
406,142,107,3
407,143,169,3
408,144,122,2
409,144,200,3
410,144,135,4
411,145,109,1
412,145,65,3
413,145,142,3
414,146,127,3
415,146,104,3
416,146,86,2
417,147,31,3
418,147,85,2
419,147,50,1
420,147,82,1
421,148,186,1
422,148,142,4
423,148,104,3
424,148,140,1
425,149,12,2
426,150,156,4
427,150,197,2
428,150,169,1
429,150,16,2
430,151,171,4
431,152,26,2
432,152,170,1
433,153,199,3
434,153,26,2
435,153,168,3
436,153,4,3
437,154,48,3
438,154,108,1
439,154,9,4
440,155,165,1
441,155,149,1
442,155,14,4
443,155,128,4
444,155,146,4
445,156,4,4
446,157,152,4
447,157,169,1
448,157,40,1
449,157,122,4
450,157,198,2
451,158,161,4
452,158,4,1
453,159,176,1
454,160,56,1
455,161,121,3
456,161,5,2
457,162,188,3
458,162,191,2
459,162,48,1
460,162,13,3
461,163,182,1
462,163,128,1
463,163,118,1
464,163,172,1
465,163,66,1
466,164,21,2
467,164,100,4
468,164,80,1
469,164,187,3
470,164,154,3
471,165,187,2
472,165,113,1
473,165,121,3
474,165,174,2
475,165,43,4
476,166,99,3
477,166,200,3
478,166,116,3
479,166,70,1
480,167,167,1
481,167,181,2
482,167,154,3
483,167,86,4
484,167,156,2
485,168,100,2
486,168,176,4
487,168,97,3
488,168,155,1
489,169,68,2
490,169,69,1
491,169,109,3
492,170,147,3
493,170,38,4
494,171,137,4
495,171,22,4
496,171,139,2
497,172,80,1
498,172,156,4
499,173,182,1
500,173,53,4
501,173,66,4
502,173,151,1
503,174,91,3
504,174,198,3
505,174,17,4
506,174,60,2
507,174,102,2
508,175,50,2
509,175,24,3
510,176,148,4
511,176,145,2
512,176,92,2
513,177,127,3
514,178,96,4
515,179,40,3
516,180,8,1
517,180,89,1
518,180,72,1
519,180,133,2
520,180,156,4
521,181,146,4
522,181,55,1
523,181,67,4
524,181,200,2
525,181,72,3
526,182,87,2
527,183,97,1
528,183,22,1
529,184,143,3
530,185,125,4
531,185,17,1
532,185,154,1
533,185,164,3
534,186,145,1
535,186,60,4
536,186,165,2
537,187,41,2
538,187,95,2
539,187,61,1
540,187,185,3
541,188,16,1
542,188,142,3
543,188,8,4
544,189,26,2
545,190,194,3
546,190,2,4
547,190,51,1
548,191,83,1
549,191,96,3
550,191,66,4
551,191,100,4
552,192,113,2
553,192,62,1
554,193,184,2
555,193,50,1
556,193,10,3
557,193,41,2
558,194,25,1
559,194,99,4
560,194,6,3
561,194,161,3
562,195,123,3
563,195,30,2
564,196,57,2
565,196,189,4
566,196,15,2
567,197,39,2
568,197,69,2
569,197,108,1
570,197,106,3
571,198,76,1
572,198,86,3
573,198,43,4
574,198,67,4
575,198,126,1
576,199,132,2
577,199,15,4
578,200,31,2
579,200,66,3
580,200,194,4
581,201,62,4
582,201,61,3
583,201,25,4
584,202,15,3
585,202,186,2
586,203,114,3
587,204,36,2
588,204,114,3
589,204,1,4
590,204,135,1
591,204,74,4
592,205,71,2
593,205,147,2
594,206,134,2
595,206,198,2
596,207,154,1
597,207,21,4
598,208,45,2
599,208,53,3
600,208,36,2
601,209,17,4
602,210,133,3
603,211,73,1
604,211,164,1
605,211,127,4
606,212,35,2
607,212,171,3
608,212,69,1
609,212,64,2
610,213,148,3
611,213,153,4
612,213,2,1
613,214,92,2
614,215,200,1
615,215,183,3
616,215,98,1
617,216,115,2
618,216,132,1
619,216,7,2
620,216,136,1
621,217,159,2
622,217,47,1
623,218,65,1
624,218,143,1
625,218,8,2
626,219,5,4
627,219,154,2
628,219,164,4
629,220,90,1
630,221,12,1
631,221,70,4
632,222,150,1
633,222,129,1
634,222,195,1
635,222,72,4
636,223,139,2
637,223,152,2
638,224,172,4
639,224,147,4
640,225,5,4
641,225,163,4
642,226,155,3
643,226,135,3
644,226,10,4
645,226,102,2
646,226,14,3
647,227,145,1
648,227,83,3
649,227,103,2
650,227,144,3
651,228,109,1
652,228,170,3
653,229,136,2
654,230,84,4
655,231,130,1
656,231,172,2
657,232,108,4
658,232,102,1
659,233,9,3
660,234,70,1
661,234,161,3
662,234,139,1
663,234,10,1
664,234,160,4
665,235,11,1
666,235,74,3
667,236,166,1
668,236,43,3
669,236,31,1
670,237,152,1
671,237,137,2
672,237,38,3
673,237,113,4
674,238,74,3
675,238,71,4
676,238,63,2
677,238,189,4
678,238,23,2
679,239,182,4
680,239,94,4
681,239,118,3
682,239,141,1
683,239,78,2
684,240,57,4
685,240,49,4
686,240,132,1
687,241,42,3
688,241,62,4
689,241,83,3
690,242,56,1
691,242,76,2
692,242,15,1
693,243,90,4
694,243,113,4
695,243,169,3
696,243,16,1
697,243,133,2
698,244,107,3
699,244,87,2
700,245,158,3
701,245,157,1
702,246,69,2
703,246,162,4
704,246,182,1
705,246,181,1
706,247,197,4
707,247,141,4
708,247,150,2
709,247,31,4
710,248,160,4
711,248,156,4
712,248,29,4
713,249,186,3
714,249,91,4
715,249,75,4
716,250,2,4
717,250,191,4
718,250,128,3
719,251,138,2
720,251,78,4
721,252,97,3
722,252,149,2
723,252,60,3
724,252,23,2
725,252,85,4
726,253,7,1
727,254,145,3
728,254,128,4
729,254,77,4
730,255,119,3
731,255,92,4
732,255,11,1
733,255,153,1
734,256,59,4
735,256,26,2
736,256,105,2
737,256,96,4
738,256,129,4
739,257,113,3
740,257,197,1
741,257,160,2
742,257,151,3
743,258,94,2
744,258,20,1
745,258,80,3
746,259,131,2
747,259,108,3
748,259,162,2
749,260,49,1
750,260,106,3
751,260,47,1
752,260,16,4
753,260,162,1
754,261,79,1
755,262,102,1
756,262,26,1
757,262,151,2
758,263,128,3
759,263,197,2
760,264,51,2
761,264,106,1
762,264,155,1
763,264,32,1
764,264,38,1
765,265,134,4
766,265,126,4
767,266,167,1
768,267,83,3
769,267,37,2
770,267,184,1
771,267,61,3
772,267,91,1
773,268,17,4
774,268,90,1
775,268,50,1
776,268,116,2
777,268,160,4
778,269,196,2
779,269,12,2
780,269,113,2
781,269,14,1
782,269,159,2
783,270,45,4
784,270,81,3
785,270,2,4
786,270,117,1
787,270,78,2
788,271,173,4
789,271,184,3
790,271,150,4
791,271,57,4
792,272,63,1
793,273,44,4
794,273,92,2
795,274,75,4
796,275,93,3
797,275,30,4
798,275,86,1
799,275,137,1
800,275,99,4
801,276,142,2
802,276,63,4
803,276,100,3
804,277,61,3
805,277,112,1
806,277,9,3
807,278,62,2
808,278,181,1
809,279,70,2
810,279,140,4
811,280,62,2
812,280,41,4
813,280,95,4
814,280,91,2
815,281,122,2
816,281,130,4
817,281,53,2
818,282,153,3
819,282,113,2
820,282,151,4
821,283,131,1
822,283,55,3
823,283,33,4
824,283,193,1
825,283,32,2
826,284,4,1
827,284,100,2
828,284,182,2
829,285,49,1
830,285,170,3
831,285,28,3
832,286,17,3
833,286,184,1
834,287,74,4
835,287,33,3
836,288,104,2
837,288,119,3
838,288,199,2
839,289,94,3
840,290,7,4
841,290,169,2
842,290,181,4
843,290,180,3
844,291,47,3
845,292,70,2
846,293,104,1
847,294,42,2
848,294,111,4
849,294,51,1
850,294,194,3
851,294,78,2
852,295,59,3
853,295,146,4
854,295,128,3
855,295,184,1
856,295,134,1
857,296,11,1
858,296,150,2
859,296,156,1
860,297,82,2
861,298,192,4
862,298,23,2
863,298,107,3
864,299,24,4
865,299,90,1
866,299,109,2
867,299,114,4
868,299,88,2
869,300,196,3
870,300,49,2
871,300,12,2
872,300,180,2
873,301,67,3
874,301,64,4
875,301,16,1
876,301,44,2
877,301,92,3
878,302,35,4
879,302,176,4
880,303,181,1
881,303,62,4
882,304,165,3
883,304,90,2
884,305,151,2
885,305,145,3
886,306,141,4
887,307,174,2
888,307,171,4
889,308,53,1
890,308,30,3
891,308,177,4
892,308,75,2
893,309,16,3
894,310,51,3
895,310,29,4
896,310,180,1
897,311,84,4
898,311,114,3
899,312,44,1
900,312,143,1
901,312,19,4
902,313,22,3
903,313,192,1
904,313,184,4
905,313,85,4
906,314,49,3
907,314,140,1
908,314,83,3
909,314,3,3
910,315,21,1
911,315,36,1
912,316,38,2
913,316,76,1
914,316,95,3
915,316,48,3
916,317,48,2
917,317,166,3
918,317,92,2
919,317,82,3
920,318,62,1
921,318,15,4
922,318,11,1
923,319,127,4
924,319,109,2
925,320,155,1
926,320,149,2
927,320,161,2
928,321,36,4
929,321,114,1
930,322,113,4
931,323,56,3
932,323,186,1
933,324,157,4
934,325,73,1
935,325,19,4
936,326,17,2
937,326,113,2
938,326,3,4
939,327,2,3
940,327,114,2
941,327,145,4
942,328,139,3
943,329,118,4
944,329,110,1
945,329,137,1
946,329,161,3
947,329,40,3
948,330,147,2
949,330,108,3
950,330,95,3
951,330,124,1
952,330,169,2
953,331,174,4
954,331,190,1
955,332,170,3
956,332,149,4
957,333,136,4
958,333,62,4
959,333,145,3
960,334,59,2
961,335,141,1
962,335,192,2
963,336,167,3
964,336,25,4
965,336,49,2
966,337,118,1
967,337,58,1
968,337,139,4
969,337,147,1
970,337,179,4
971,338,129,1
972,338,141,1
973,339,176,2
974,339,101,4
975,339,140,1
976,339,44,2
977,340,199,4
978,340,159,2
979,340,15,1
980,341,11,2
981,341,4,4
982,341,180,3
983,342,182,2
984,343,23,1
985,343,160,3
986,343,52,2
987,343,145,3
988,344,196,1
989,344,189,3
990,344,175,1
991,345,96,3
992,345,132,4
993,346,155,3
994,347,92,3
995,348,29,3
996,348,9,2
997,348,173,4
998,348,63,1
999,348,66,4
1000,349,6,4
1001,350,19,3
1002,351,39,3
1003,351,142,4
1004,352,151,3
1005,352,65,4
1006,353,7,3
1007,354,125,4
1008,354,129,1
1009,355,20,2
1010,356,166,2
1011,356,174,4
1012,356,154,4
1013,356,101,2
1014,356,122,1
1015,357,85,3
1016,357,136,2
1017,357,56,1
1018,358,44,4
1019,358,93,3
1020,359,120,3
1021,359,100,4
1022,359,91,3
1023,359,81,2
1024,359,2,1
1025,360,118,1
1026,360,156,2
1027,361,70,3
1028,361,99,1
1029,362,68,2
1030,362,92,1
1031,362,146,1
1032,362,147,2
1033,362,136,4
1034,363,163,2
1035,363,26,1
1036,363,93,3
1037,363,73,3
1038,363,61,3
1039,364,163,4
1040,364,63,3
1041,364,90,1
1042,364,141,3
1043,364,184,3
1044,365,129,3
1045,365,95,2
1046,365,63,2
1047,365,61,2
1048,366,172,4
1049,367,115,3
1050,367,102,2
1051,367,146,1
1052,367,198,2
1053,368,185,3
1054,368,79,1
1055,368,65,2
1056,369,21,3
1057,369,150,4
1058,369,46,3
1059,369,78,4
1060,369,149,1
1061,370,82,1
1062,370,45,2
1063,370,71,3
1064,370,66,2
1065,371,56,1
1066,372,115,1
1067,372,52,2
1068,372,155,2
1069,372,73,1
1070,373,154,1
1071,373,13,1
1072,374,88,3
1073,374,185,1
1074,374,35,3
1075,374,2,1
1076,374,49,2
1077,375,84,4
1078,375,192,4
1079,375,7,3
1080,376,15,1
1081,376,107,1
1082,377,86,3
1083,377,199,4
1084,377,127,1
1085,377,154,1
1086,377,103,3
1087,378,168,3
1088,378,81,2
1089,378,15,1
1090,378,107,1
1091,378,158,2
1092,379,37,1
1093,379,136,3
1094,380,109,2
1095,380,89,3
1096,380,138,2
1097,381,67,3
1098,381,183,4
1099,381,123,3
1100,381,196,3
1101,381,9,3
1102,382,65,4
1103,382,3,1
1104,383,39,4
1105,383,161,1
1106,383,59,1
1107,384,35,2
1108,384,32,2
1109,384,16,3
1110,384,140,3
1111,384,129,2
1112,385,189,2
1113,385,200,1
1114,386,200,4
1115,386,182,4
1116,386,63,2
1117,387,100,3
1118,387,118,1
1119,387,55,1
1120,388,17,4
1121,389,16,4
1122,389,59,4
1123,389,145,4
1124,390,8,1
1125,390,65,3
1126,391,62,3
1127,391,60,4
1128,391,91,3
1129,391,53,3
1130,392,56,3
1131,392,146,2
1132,392,41,3
1133,392,123,3
1134,393,85,1
1135,394,64,4
1136,394,42,2
1137,394,82,1
1138,394,175,2
1139,395,12,4
1140,395,200,2
1141,395,199,4
1142,396,77,1
1143,396,176,1
1144,397,3,3
1145,397,35,2
1146,398,189,4
1147,398,91,4
1148,398,25,1
1149,398,193,4
1150,398,44,3
1151,399,86,2
1152,399,9,1
1153,399,150,1
1154,399,61,2
1155,400,153,1
1156,400,60,1
1157,400,148,1
1158,400,111,3
1159,400,179,1
1160,401,31,4
1161,402,135,1
1162,402,110,2
1163,403,176,2
1164,403,139,1
1165,404,91,2
1166,404,128,1
1167,404,20,3
1168,404,90,2
1169,404,56,1
1170,405,69,2
1171,405,18,1
1172,405,12,4
1173,406,93,1
1174,406,69,4
1175,406,3,3
1176,406,84,3
1177,406,177,4
1178,407,103,4
1179,407,109,4
1180,407,82,2
1181,408,195,1
1182,408,99,2
1183,408,105,3
1184,408,37,4
1185,409,51,1
1186,409,170,1
1187,410,9,3
1188,410,184,4
1189,410,13,3
1190,410,104,4
1191,410,178,1
1192,411,192,3
1193,411,166,4
1194,411,121,2
1195,411,131,4
1196,412,183,3
1197,412,17,3
1198,412,101,1
1199,413,171,3
1200,413,58,4
1201,413,157,3
1202,413,196,4
1203,413,68,2
1204,414,17,3
1205,414,194,2
1206,415,44,2
1207,415,94,4
1208,415,62,2
1209,415,173,1
1210,415,45,3
1211,416,93,2
1212,416,110,3
1213,416,32,4
1214,416,105,1
1215,417,92,3
1216,417,170,4
1217,417,134,1
1218,418,102,1
1219,418,75,4
1220,418,115,4
1221,419,195,2
1222,419,133,1
1223,420,94,2
1224,420,126,3
1225,421,88,2
1226,421,98,1
1227,421,65,3
1228,421,5,1
1229,421,143,2
1230,422,184,3
1231,422,140,3
1232,422,71,2
1233,423,113,4
1234,423,24,1
1235,423,135,2
1236,424,109,3
1237,424,75,1
1238,425,97,3
1239,425,94,4
1240,425,11,4
1241,425,183,3
1242,426,62,2
1243,426,99,2
1244,426,149,3
1245,427,171,2
1246,428,19,4
1247,428,21,4
1248,428,194,4
1249,429,107,1
1250,429,128,4
1251,429,165,4
1252,429,194,4
1253,429,7,4
1254,430,46,4
1255,430,17,2
1256,430,113,1
1257,430,102,2
1258,431,103,1
1259,431,139,3
1260,432,85,1
1261,432,197,1
1262,432,100,2
1263,432,198,1
1264,432,118,1
1265,433,128,1
1266,434,145,1
1267,434,117,2
1268,435,124,4
1269,435,15,2
1270,435,141,4
1271,436,161,2
1272,437,86,1
1273,437,49,2
1274,437,133,3
1275,438,68,3
1276,438,23,4
1277,438,81,4
1278,438,99,1
1279,438,66,3
1280,439,64,3
1281,439,98,3
1282,439,112,2
1283,440,14,3
1284,440,54,4
1285,441,182,3
1286,441,150,2
1287,441,37,4
1288,441,94,1
1289,442,3,4
1290,442,137,3
1291,442,18,1
1292,443,57,2
1293,443,113,2
1294,443,75,4
1295,444,187,2
1296,444,114,4
1297,444,53,1
1298,444,15,1
1299,445,19,4
1300,445,153,2
1301,446,185,2
1302,447,57,3
1303,447,173,2
1304,447,185,2
1305,447,192,2
1306,448,133,4
1307,448,26,1
1308,449,24,4
1309,449,13,2
1310,450,181,4
1311,450,114,2
1312,450,176,1
1313,451,11,4
1314,451,41,3
1315,452,150,2
1316,452,82,3
1317,453,84,2
1318,453,141,2
1319,453,55,4
1320,454,84,4
1321,455,165,2
1322,455,75,1
1323,456,119,2
1324,456,39,4
1325,457,174,1
1326,457,103,3
1327,457,30,1
1328,458,168,1
1329,458,135,3
1330,459,90,1
1331,459,5,2
1332,459,193,4
1333,459,128,3
1334,460,154,1
1335,460,150,2
1336,460,139,2
1337,461,70,3
1338,461,197,1
1339,461,196,1
1340,461,59,1
1341,462,50,3
1342,462,39,1
1343,462,169,2
1344,463,90,2
1345,463,116,3
1346,463,124,3
1347,464,29,1
1348,464,77,4
1349,465,192,1
1350,466,153,4
1351,466,101,1
1352,467,11,1
1353,468,166,3
1354,468,179,1
1355,468,34,3
1356,468,107,2
1357,469,44,3
1358,469,170,1
1359,469,24,4
1360,470,39,1
1361,470,67,2
1362,470,25,1
1363,471,128,1
1364,471,70,3
1365,472,63,1
1366,472,42,3
1367,472,146,3
1368,472,138,2
1369,473,104,2
1370,473,143,2
1371,473,53,2
1372,474,4,1
1373,475,126,2
1374,476,23,2
1375,476,193,2
1376,477,8,1
1377,477,109,3
1378,477,101,1
1379,478,170,2
1380,479,63,1
1381,479,153,2
1382,480,154,3
1383,481,11,2
1384,482,198,1
1385,482,178,4
1386,482,45,2
1387,482,78,1
1388,482,88,3
1389,483,105,2
1390,483,9,2
1391,483,23,2
1392,483,63,3
1393,484,53,2
1394,484,51,3
1395,485,1,4
1396,486,128,3
1397,487,193,1
1398,488,161,3
1399,488,13,4
1400,489,167,3
1401,490,42,4
1402,490,127,2
1403,490,173,3
1404,490,198,3
1405,490,191,1
1406,491,175,4
1407,491,152,3
1408,491,43,1
1409,491,112,1
1410,492,193,2
1411,492,60,4
1412,492,62,2
1413,493,148,4
1414,493,176,4
1415,493,182,3
1416,493,13,4
1417,494,23,3
1418,494,59,4
1419,494,168,3
1420,494,173,1
1421,495,126,1
1422,495,155,4
1423,495,5,4
1424,496,155,3
1425,496,77,2
1426,496,118,1
1427,496,38,3
1428,497,120,3
1429,497,159,1
1430,497,9,3
1431,497,75,2
1432,498,105,1
1433,498,170,2
1434,498,138,1
1435,498,62,4
1436,499,100,3
1437,499,70,2
1438,500,43,4
1439,500,58,3
1440,500,90,4
1441,501,130,2
1442,501,156,4
1443,501,49,1
1444,502,45,1
1445,503,117,3
1446,503,145,3
1447,504,142,4
1448,505,193,4
1449,505,65,1
1450,506,160,3
1451,506,85,3
1452,506,114,4
1453,506,69,1
1454,506,76,4
1455,507,94,1
1456,507,178,4
1457,507,5,4
1458,507,15,3
1459,508,39,1
1460,508,187,3
1461,508,156,4
1462,508,192,2
1463,508,118,1
1464,509,37,1
1465,509,49,4
1466,509,151,2
1467,510,165,3
1468,510,72,1
1469,510,161,4
1470,510,196,4
1471,510,62,1
1472,511,127,3
1473,511,182,3
1474,511,93,2
1475,511,177,4
1476,512,137,3
1477,513,52,1
1478,513,133,2
1479,514,190,3
1480,514,134,1
1481,514,44,3
1482,515,199,3
1483,515,93,3
1484,515,178,4
1485,515,48,2
1486,516,83,3
1487,516,113,3
1488,516,104,4
1489,516,28,3
1490,516,175,4
1491,517,69,4
1492,517,29,4
1493,517,53,2
1494,517,160,3
1495,518,39,3
1496,519,121,1
1497,519,170,3
1498,519,144,4
1499,519,172,3
1500,519,106,4
1501,520,74,1
1502,520,162,1
1503,520,32,3
1504,520,67,3
1505,520,116,3
1506,521,63,1
1507,521,18,4
1508,521,141,1
1509,522,43,1
1510,522,166,4
1511,522,46,4
1512,523,103,3
1513,523,101,3
1514,523,128,2
1515,524,137,4
1516,524,189,3
1517,525,55,1
1518,525,87,4
1519,526,129,1
1520,527,171,2
1521,527,61,3
1522,527,148,2
1523,527,111,2
1524,527,104,2
1525,528,129,3
1526,528,32,1
1527,529,74,4
1528,529,34,3
1529,529,166,1
1530,529,181,3
1531,530,55,1
1532,530,58,3
1533,530,80,1
1534,530,25,1
1535,530,93,1
1536,531,56,2
1537,531,1,4
1538,531,118,3
1539,532,16,1
1540,532,115,1
1541,532,152,4
1542,532,143,1
1543,532,153,4
1544,533,76,3
1545,533,162,3
1546,534,146,3
1547,534,59,1
1548,534,56,2
1549,534,143,2
1550,534,54,1
1551,535,69,3
1552,535,109,1
1553,535,96,1
1554,535,17,4
1555,535,162,4
1556,536,151,3
1557,536,105,3
1558,536,58,3
1559,536,171,1
1560,536,15,4
1561,537,35,4
1562,537,111,2
1563,537,117,3
1564,537,175,2
1565,537,182,1
1566,538,43,1
1567,538,73,1
1568,538,195,4
1569,538,50,2
1570,539,198,2
1571,539,68,3
1572,540,190,1
1573,541,91,2
1574,542,4,3
1575,542,165,3
1576,542,185,2
1577,542,192,3
1578,543,79,2
1579,543,27,3
1580,543,12,4
1581,544,183,4
1582,545,88,1
1583,546,94,4
1584,546,200,4
1585,547,87,3
1586,548,33,3
1587,548,28,4
1588,548,136,2
1589,548,145,3
1590,549,169,3
1591,549,6,4
1592,549,50,4
1593,550,112,2
1594,550,35,1
1595,551,55,4
1596,552,3,1
1597,553,200,1
1598,553,12,3
1599,553,53,3
1600,553,147,4
1601,554,197,2
1602,554,164,2
1603,554,53,3
1604,554,2,4
1605,555,26,2
1606,556,113,4
1607,556,117,1
1608,557,186,4
1609,557,185,2
1610,557,14,4
1611,557,121,4
1612,557,44,2
1613,558,128,4
1614,559,180,2
1615,560,2,2
1616,560,101,1
1617,561,25,1
1618,561,52,1
1619,562,13,1
1620,562,103,4
1621,562,62,3
1622,562,57,1
1623,563,120,4
1624,563,5,1
1625,564,48,2
1626,565,42,4
1627,565,158,1
1628,565,132,1
1629,565,83,1
1630,565,28,1
1631,566,144,1
1632,566,159,1
1633,566,157,3
1634,566,153,4
1635,566,138,4
1636,567,144,2
1637,568,48,4
1638,569,32,2
1639,569,182,4
1640,570,157,1
1641,571,134,2
1642,571,91,1
1643,571,174,1
1644,571,25,3
1645,571,23,3
1646,572,80,2
1647,572,196,4
1648,572,76,3
1649,573,2,1
1650,573,21,1
1651,574,175,2
1652,575,99,2
1653,575,117,1
1654,575,105,1
1655,575,157,1
1656,575,148,1
1657,576,111,2
1658,576,15,3
1659,577,66,3
1660,577,181,3
1661,577,35,1
1662,577,65,3
